pair;round;nrTurns;success
0;0;7;false
0;1;1;true
0;2;1;true
0;3;2;true
0;4;2;true
0;5;1;true
1;0;7;true
1;1;7;false
1;2;7;false
1;3;7;false
1;4;7;true
1;5;7;true
2;0;7;true
2;1;7;true
2;2;7;true
2;3;7;false
2;4;7;false
2;5;7;false
3;0;4;true
3;1;7;true
3;2;2;true
3;3;7;false
3;4;7;true
3;5;4;true
4;0;5;true
4;1;1;true
4;2;1;true
4;3;3;true
4;4;1;true
4;5;1;true
5;0;5;true
5;1;1;true
5;2;4;true
5;3;1;true
5;4;1;true
5;5;2;true
6;0;3;true
6;1;2;true
6;2;2;true
6;3;1;true
6;4;1;true
6;5;1;true
7;0;3;true
7;1;1;true
7;2;1;true
7;3;7;false
7;4;2;true
7;5;7;true
8;0;7;false
8;1;2;true
8;2;1;true
8;3;7;false
8;4;7;true
8;5;7;false
9;0;3;true
9;1;3;true
9;2;2;true
9;3;7;true
9;4;7;true
9;5;7;true
10;0;7;false
10;1;7;false
10;2;7;true
10;3;7;false
10;4;7;false
10;5;7;false
11;0;7;true
11;1;7;true
11;2;7;false
11;3;7;false
11;4;7;false
11;5;7;true
12;0;5;true
12;1;2;true
12;2;2;true
12;3;1;true
12;4;1;true
12;5;1;true
13;0;3;true
13;1;6;true
13;2;1;true
13;3;1;true
13;4;1;false
13;5;4;true
14;0;7;true
14;1;1;true
14;2;7;true
14;3;7;false
14;4;7;false
14;5;7;true
15;0;7;false
15;1;7;true
15;2;7;false
15;3;7;true
15;4;7;false
15;5;7;false
16;0;3;true
16;1;4;true
16;2;1;true
16;3;2;true
16;4;1;true
16;5;1;true
17;0;5;true
17;1;2;true
17;2;1;true
17;3;1;false
17;4;2;true
17;5;2;false
18;0;3;true
18;1;1;true
18;2;1;false
18;3;1;true
18;4;2;true
18;5;7;false
19;0;5;true
19;1;1;true
19;2;2;true
19;3;2;true
19;4;1;true
19;5;1;true
20;0;5;true
20;1;2;true
20;2;1;true
20;3;1;true
20;4;2;true
20;5;1;false
21;0;7;true
21;1;7;true
21;2;1;true
21;3;1;true
21;4;7;false
21;5;7;false
22;0;7;false
22;1;1;true
22;2;7;false
22;3;7;true
22;4;1;false
22;5;1;true
23;0;7;true
23;1;4;true
23;2;2;true
23;3;1;true
23;4;4;false
23;5;1;true
24;0;6;true
24;1;2;true
24;2;1;true
24;3;2;true
24;4;1;true
24;5;1;true
25;0;7;true
25;1;7;true
25;2;7;true
25;3;7;true
25;4;7;false
25;5;7;false
26;0;7;false
26;1;7;false
26;2;7;true
26;3;7;true
26;4;7;true
26;5;7;true
27;0;3;false
27;1;2;true
27;2;1;true
27;3;4;true
27;4;1;true
27;5;7;false
28;0;3;true
28;1;2;true
28;2;1;true
28;3;3;true
28;4;2;true
28;5;1;true
29;0;7;false
29;1;3;true
29;2;7;false
29;3;7;false
29;4;6;true
29;5;1;true
30;0;7;true
30;1;7;true
30;2;7;false
30;3;7;true
30;4;7;false
30;5;7;true
31;0;7;true
31;1;7;true
31;2;7;false
31;3;7;true
31;4;7;true
31;5;7;false
32;0;3;true
32;1;3;true
32;2;7;true
32;3;7;false
32;4;7;true
32;5;7;true
33;0;7;true
33;1;7;true
33;2;1;true
33;3;7;true
33;4;7;false
33;5;1;true
34;0;7;true
34;1;1;true
34;2;1;true
34;3;2;true
34;4;1;true
34;5;7;false
35;0;4;true
35;1;2;true
35;2;1;false
35;3;3;true
35;4;1;true
35;5;1;true
36;0;7;false
