pair;round;nrTurns;success
0;0;7;true
0;1;7;false
0;2;7;false
0;3;7;false
0;4;7;false
0;5;7;true
1;0;7;true
1;1;7;false
1;2;7;false
1;3;7;true
1;4;7;false
1;5;7;true
2;0;3;false
2;1;7;true
2;2;7;false
2;3;7;false
2;4;7;false
2;5;7;true
3;0;3;false
3;1;7;false
3;2;7;false
3;3;7;false
3;4;7;false
3;5;7;false
4;0;7;false
4;1;7;true
4;2;7;true
4;3;7;true
4;4;7;true
4;5;7;false
5;0;2;true
5;1;1;true
5;2;1;true
5;3;7;false
5;4;7;false
5;5;7;false
6;0;3;true
6;1;1;true
6;2;1;true
6;3;7;false
6;4;7;false
6;5;7;false
7;0;2;true
7;1;3;true
7;2;7;false
7;3;7;false
7;4;7;false
7;5;7;false
8;0;2;true
8;1;7;true
8;2;7;true
8;3;7;false
8;4;7;true
8;5;7;false
9;0;3;false
9;1;2;true
9;2;7;false
9;3;7;true
9;4;7;true
9;5;7;false
10;0;4;true
10;1;1;true
10;2;1;false
10;3;1;true
10;4;1;true
10;5;1;true
11;0;2;true
11;1;1;true
11;2;7;false
11;3;7;false
11;4;7;true
11;5;7;false
12;0;7;false
12;1;7;true
12;2;7;false
12;3;7;false
12;4;7;true
12;5;7;true
13;0;5;true
13;1;2;true
13;2;7;true
13;3;7;false
13;4;7;true
13;5;7;true
14;0;7;true
14;1;7;false
14;2;7;false
14;3;7;true
14;4;7;false
14;5;7;false
15;0;3;true
15;1;1;true
15;2;1;true
15;3;1;true
15;4;1;true
15;5;1;true
16;0;4;true
16;1;7;true
16;2;7;true
16;3;7;false
16;4;7;false
16;5;7;true
17;0;7;true
17;1;5;true
17;2;7;false
17;3;7;true
17;4;7;false
17;5;7;false
18;0;7;false
18;1;7;true
18;2;7;false
18;3;7;true
18;4;7;false
18;5;7;false
19;0;7;false
19;1;7;false
19;2;7;false
19;3;7;false
19;4;7;true
19;5;7;true
20;0;2;true
20;1;1;true
20;2;7;true
20;3;7;false
20;4;7;true
20;5;7;false
21;0;3;false
21;1;1;false
21;2;7;false
21;3;7;true
21;4;7;false
21;5;7;false
22;0;4;false
22;1;1;true
22;2;1;true
22;3;1;true
22;4;1;false
22;5;1;true
23;0;2;true
23;1;3;false
23;2;1;false
23;3;1;false
23;4;1;true
23;5;1;true
24;0;2;true
24;1;7;false
24;2;7;false
24;3;7;false
24;4;7;false
24;5;7;true
25;0;3;true
25;1;1;false
25;2;1;false
25;3;1;true
25;4;1;false
25;5;1;true
26;0;2;true
26;1;7;false
26;2;7;true
26;3;7;false
26;4;7;false
26;5;7;true
27;0;7;false
27;1;7;true
27;2;7;true
27;3;7;true
27;4;7;false
27;5;7;true
28;0;3;true
28;1;1;true
28;2;1;true
28;3;1;true
28;4;1;true
28;5;1;true
29;0;7;false
29;1;7;false
29;2;7;false
29;3;7;false
29;4;7;false
29;5;7;false
30;0;7;false
30;1;7;true
30;2;7;false
30;3;7;false
30;4;7;false
30;5;7;false
31;0;7;false
31;1;7;false
31;2;7;true
31;3;7;false
31;4;7;true
31;5;3;false
32;0;7;false
32;1;7;false
32;2;7;true
32;3;7;true
32;4;7;true
32;5;7;false
33;0;2;true
33;1;3;true
33;2;1;true
33;3;1;false
33;4;1;true
33;5;7;true
34;0;4;true
34;1;1;true
34;2;1;true
34;3;7;true
34;4;7;true
34;5;7;true
35;0;7;true
35;1;7;false
