pair;round;nrTurns;success
0;0;4;false
0;1;1;true
0;2;1;true
0;3;1;true
0;4;1;true
0;5;1;true
1;0;7;true
1;1;7;false
1;2;7;true
1;3;7;true
1;4;7;false
1;5;7;false
2;0;2;true
2;1;1;false
2;2;1;true
2;3;1;true
2;4;1;true
2;5;2;true
3;0;7;true
3;1;7;true
3;2;7;true
3;3;7;true
3;4;7;true
3;5;7;false
4;0;3;false
4;1;7;true
4;2;7;true
4;3;7;false
4;4;7;true
4;5;7;false
5;0;2;true
5;1;3;true
5;2;1;true
5;3;7;true
5;4;7;true
5;5;7;false
6;0;2;true
6;1;1;true
6;2;1;true
6;3;7;false
6;4;7;true
6;5;7;false
7;0;2;true
7;1;1;true
7;2;1;true
7;3;7;true
7;4;7;false
7;5;7;true
8;0;7;true
8;1;7;true
8;2;7;true
8;3;7;true
8;4;7;true
8;5;7;false
9;0;3;true
9;1;1;true
9;2;1;true
9;3;1;true
9;4;1;true
9;5;1;true
10;0;2;true
10;1;2;true
10;2;2;true
10;3;7;true
10;4;7;true
10;5;7;true
11;0;2;true
11;1;2;true
11;2;1;true
11;3;7;false
11;4;7;false
11;5;7;true
12;0;7;false
12;1;7;true
12;2;7;true
12;3;7;true
12;4;7;true
12;5;7;true
13;0;2;true
13;1;1;true
13;2;3;true
13;3;1;true
13;4;1;true
13;5;1;true
14;0;2;true
14;1;7;true
14;2;7;false
14;3;7;true
14;4;7;true
14;5;7;true
15;0;7;false
15;1;7;false
15;2;7;false
15;3;7;true
15;4;7;true
15;5;7;false
16;0;3;true
16;1;2;true
16;2;1;true
16;3;1;true
16;4;1;true
16;5;1;true
17;0;2;true
17;1;7;false
17;2;7;true
17;3;7;false
17;4;7;false
17;5;7;false
18;0;3;true
18;1;1;false
18;2;1;true
18;3;7;false
18;4;7;false
18;5;7;true
19;0;3;true
19;1;7;true
19;2;7;false
19;3;7;false
19;4;7;true
19;5;7;false
20;0;3;true
20;1;7;true
20;2;7;false
20;3;7;false
20;4;7;false
20;5;7;true
21;0;3;true
21;1;1;true
21;2;1;true
21;3;7;true
21;4;7;false
21;5;7;false
