pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R3;S4;R1;S3;NA;1.5563598077316876765073620031150515;6.578251322089486443257513452079052773742406803990886598620236742508595105;6.578251322089486443257513452079052775366006803990886598520236542488595105;43.3436880812168937419248330310929851290100533261714158912301708438126535886;43.3436880812168937419248330310929852137296932261714158913301808438136535886
0;0;0;R3;S3;R2;S1;1.5756097518443751169156732861668574;1.3993382142369700526235434345545666;6.578251322089486443257513452079052773742406803990886598620236742508595105;3.87400112971767869566944244285972933361536293140419803523129243360638619;24.013755249199190728152005100178649018006162272784875534842509790066014040;43.79522754459634908135950166766038570668787822688722698137828448255685880
0;0;1;R3;S1;R2;S3;1.1659982493478403324870872037545047;1.5590572290312798884479838047138774;4.60473510578097398219587719931074797900039350831784325010269887263288549;3.436166757270705874447884115846576147090565380678122427195441085911562;13.79333693255269795858335192353602439109811163498377746287317628110081413;44.1454822322481531599260969903140765076967491397272850462703852410457360
0;0;2;R3;S2;R2;S4;0.31799113575069986872811187444354591;1.5319343822152018603639236076119619;3.243079642722901707432533556997352297147122375243526400733184636443094;3.1523824948875801762520105456076366670772009026470384774933040485625;46.6532114623688013084029222792205697934613041183068371608178765128911266;40.968384307361582894589214200783088119978653165299162960497419261207
0;0;3;R3;S3;R2;S1;1.0890973342963254584247339628685252;1.2891580120372461764284844337066769;2.476765635469376613371257003016487159173034018759326210735453938027668;1.90349260897712430457877275210255872468985683693615972443017198009;44.8723765443577994390506298584173490328680171287386664453889719368584;41.22103997993423456146603524712514565413102404634917927568059699470
0;0;4;R3;S1;R1;S1;0.69989600890967241202442775063927674;1.10118367751341162311301228350007236;2.101831735430311143167433611606869273089812897096109069325587645968;1.75709061211962024405388196480718388956875708683106878092698197353;56.911916306770927049997458836269663369063461240417123599470031856367;37.6775950920682252161235027087066843236112227921080612269998204701
0;0;5;R3;S1;NA;NA;0.72986608193238843968660196270435337;NA;2.29223132795040091148296504673890317069443492377375567513944358114;NA;NA;NA
0;1;0;R3;S2;R3;S2;NA;1.3590894418631097359318810411921746;0.07774004136692027376531341034225623254282608834543281286005003;1.26929271788057309416809113789717578683884162321632455993280451538;24.81523388162095067533719493711964055857410193689216975992466715;30.874906211264228519316750505087207261725771709788043342705388706916
0;1;0;R3;S1;R2;S3;1.002304893770345561206849398910619079;1.0002762473796650473109567132884197460;0.07774004136692027376531341034225623254282608834543281286005003;0.233871430013111307251043260114091619959119549694269077724385880;24.02157987468493829715078741031353304586856405801394559918165;27.9002232026203220374236665008166825974478068
0;1;1;R3;S2;R2;S2;1.001408398431756688827871488878420835;1.02241441267304290702473518626700584;0.0021830229794349095192476163480263229373731667414935861447;0.2726441674510280259517595182491351870444872;26.02604848095594488387363958057956688557966248002926473696365;28.0591677188972367264091375679915794811240666
