pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R1;S4;R3;S4;NA;1.5321789848176036652590866207878287;6.5560472278354841223436765951525469225896484962511999549249819264812717610;6.5560472278354841223436765951525469705758751172624520683573330389125322911;0.0000056710247823464896578141621902541948554622925857128523549622682665566;0.0000056710247823464896578141621902541960781723338067229204339522612463456
0;0;0;R1;S3;R1;S2;1.5416258403066607555766888186290769;1.4470124018233933399092606389028462;6.5560472278354841223436765951525469225896484962511999549249819264812717610;4.55074219099005480929040517265447123759614853459174852169085473274406542;0.0000014980792459156324483579371203548569390428814872331241465187612584342;0.000006690595764651781859573807691586102911718418731999454904873230781716
0;0;1;R1;S3;R1;I understand;1.5587133463211492652106639485754859;0.17876541934184945287145281246127947;4.720913280299879661953747647907797820278500709660835544219568170797665072;3.586791823913282801853308336249875078360325840994226154913215477897555;8.4830411130345125192881184185235966763791111940613579041573066580E-8;0.000044222523215378671962327949651767085862385250354560062950537287939
0;1;0;R1;S3;R1;I understand;NA;0.17876541934184945287145281246127947;2.7460853142050177683711535810333147438307192626078891145950360216979948;3.586791823913282801853308336249875078360325840994226154913215477897555;2.506542539494239934041311845614894600177000168648033142096834402E-7;6.20372422536412435234523835593040452136281704681056312009649342E-7
0;2;0;R1;S3;R1;I understand;NA;0.17876541934184945287145281246127947;2.7460853142050177683711535810333147438307192626078891145950360216979948;3.586791823913282801853308336249875078360325840994226154913215477897555;2.506542539494239934041311845614894600177000168648033142096834402E-7;6.20372422536412435234523835593040452136281704681056312009649342E-7
0;3;0;R2;S2;R3;S4;NA;1.4075524043202904284119681110991543;2.7460853142050177683711535810333147438307192626078891145950360216979948;3.586791823913282801853308336249875078360325840994226154913215477897555;2.506542539494239934041311845614894600177000168648033142096834402E-7;6.20372422536412435234523835593040452136281704681056312009649342E-7
0;3;0;R2;S3;R1;I understand;0.29499305573404063112808045259082941;0.5379243608028240619922163040850211;2.7460853142050177683711535810333147438307192626078891145950360216979948;2.97547602161461933152622151127055808609248961382611919337444897604105;1.410173114917868113688937920000385381781069753747708941313943364E-7;0.0000070879199435235063200799712842760507379238639788177607361975540
0;4;0;R2;S2;R3;S2;NA;1.4381553288965746957955449811473556;3.938511810447407015823113126406892335644664761995326028432042153050665;2.97547602161461933152622151127055808609248961382611919337444897604105;2.04950656799533018397238305184000214652647250721437085052242893E-7;0.0000067124928747047220872408673190690488876597199707489445011326521
0;4;0;R2;S3;R2;S1;1.0694453129951150241472709728464075;1.2252843255380183592623899246456362;3.938511810447407015823113126406892335644664761995326028432042153050665;2.5379743687925259330438611893266389873705614529094794689499722753520;2.06026340318454769563732171028845006010488896001455841094981783E-7;0.0000261404705023650986853844556015662687128058374848726542786912423
0;4;1;R2;S3;R1;S3;1.4869421937734804005625905509763544;1.2483818532476651716739875178639018;3.13218090249509301068149900889757469683132637215437337459921137465240;1.047569055534125933333407101572262069531641466810830320803071437418;1.90752597769550064287360445475088546930785736699968219966675E-7;3.491025604068770737907513250390908010873168000853685461040E-9
0;4;2;R2;S3;R2;S3;1.1142888626342593895865503784188815;1.10226654346950575339785612785225783;1.93712453730671399468062307275478954508488409767427678864455531940;0.53623353404319640165525910893870047682773770773076707907275301;8.2112531071936531284931389452795116182994774701502328E-14;4.398947908266239675603625567481246738428809669922157E-9
0;4;3;R2;S3;R2;S2;1.05159439673460062813458851601246573;1.03608236726891594289862268638076130;1.208762038959721238081464137874534815988342596911228334907553132246;0.211572453683888326764822173679797870461042564293691207668451460;1.34195990911893711628285623761019377207745068133714976E-13;4.72708890706098237136679692014555823238049853615440769E-9
0;4;4;R2;S3;R2;S2;1.09743648097352210011737101159004247;1.01181678057983825345583893026787931;1.0869269884775668232294587773903747041878405910859894644291747;0.073292757186484343726672529651709395885961417244699028354566524;1.8588874930211224868909319101056903683425768596396E-13;4.79853017723716442076776680005871080502518490001169E-9
0;4;5;R2;S3;NA;NA;1.10668054772339547883884691342151327;NA;1.18590321638917794316847121677129253467518578402440818907336402;NA;NA;NA
0;5;0;R1;S3;R1;S3;NA;1.003714040177769359245475872541856503;1.33138012181033133960455617862370685312482217064794809909944309;0.0238183210619311649501378611739965832322233499339240436603907;3.59364487885666531662830553430992892597334241330179E-13;4.78544894435470338066515527353930401578249334239069E-9
0;5;0;R1;S2;R2;S3;1.01102410828670658914196516347113269;1.006814429059374847905175354742775867;1.33138012181033133960455617862370685312482217064794809909944309;0.0074598786033972381247723337262851124710690106685339880549;3.56724255499668274363191315486261117513856293673506E-13;4.78129928074067742168787651371050333438843411701134E-9
0;5;1;R1;S3;R1;S3;1.006567806650095355506652867409873352;1.000001336553015830809757241826428276596;1.46334223779458871201101366405955153772982289148350081643214366;0.00001619060848868316146427808318924588930676593850150074403;5.21989774806071039465116111879762615811667059151861E-13;4.72748533597324550705076141331393841127163093436789E-9
0;5;2;R1;S3;R2;S3;1.04041732527018047619731484952325489;1.0000002418827258868834659298611117383063;0.56233367552847008187273713377379026148100776224462510227357;0.00000293095308759068072187417647166666493676112593815854227;2.65442587949667107646898488998735507113806978179E-12;4.39470055423555225597888758464394030178819770175678E-9
0;5;3;R1;S3;R2;S2;1.01914567708598252559820044258457179;1.00000004405359889655407793787214790999773;0.41142991228102776785680861437708889674215979522227060363674;5.6523157404377349074593951158173595092336153803314171E-7;2.40359527261366717746999847792493738166852024630E-12;4.39554832095373086167927107512311724365013976846992E-9
0;5;4;R1;S3;R1;S1;1.5760338646603559866514470980894237;1.000000008076924032579252999415450359599219;0.3097983976564282239883869048598263524878545499620277394;1.405812103049971411973496712426471003219153715079092E-7;2.2283350701966933864006739707489681210E-12;-8.27952108709058448385000182915862347619E-21
0;5;5;R1;S3;NA;NA;1.01992787382393429555538471132494194;NA;0.238323952237598883510436455774190183926301769221786466580;NA;NA;NA
1;0;0;R1;S1;R2;S1;NA;1.5612384849144378568367514246970921;6.5560472278354841223436765951525469225896484962511999549249819264812717610;6.5560472278354841223436765951525469705758751172624520683573330389125322911;0.0000056710247823464896578141621902541948554622925857128523549622682665566;0.0000056710247823464896578141621902541960781723338067229204339522612463456
1;0;0;R1;S2;R3;S3;1.5819676975660975649829904743750430;1.2173471738095212086272158682925970;6.5560472278354841223436765951525469225896484962511999549249819264812717610;4.27273472456274697265960006610871552910423513650305817651771712960407750;5.540698568585597540948007105506648110555087939269848375351006165692E-7;0.00001711034784914709586383185980402740513770879054345109041843055990161
1;0;1;R1;S3;R1;S4;1.4883187655403535101789566999731571;1.4541364188823243862985428748729183;4.08198269331872636596652107745507625677696833989430906486464074117042223;2.8310637720022669568602155908661939996256283966296296283139641391641153;2.3105061479459932389955430801827706221617855209466477985644295953E-7;0.00001434686765348417042748024187938802521502471897675814855664300466055
1;0;2;R1;S3;R1;I understand;1.1254756963100459287898999801651912;0.36308296263192483934392810588588272;3.0251019537842007441003874059269026335647809849637793819762114347173704;3.261500294927904093164191746227991401783072338466562473924532397178155;1.240276371578437344215152936220274293362131438151993147387216480E-7;0.000002363373139438827635239398938096334623763306883427267044173231312
1;1;0;R1;S3;R1;I understand;NA;0.36308296263192483934392810588588272;3.317841742583975681698257596193269469862032467037085381648569574519067;3.261500294927904093164191746227991401783072338466562473924532397178155;1.28353902773922056158968870834918376191458560123331345770358582E-7;0.000002269064840804598491892750824394227858324568032880841475275302419
1;2;0;R3;S2;R3;I understand;NA;0.7345103302206629349341891470721404;3.317841742583975681698257596193269469862032467037085381648569574519067;3.261500294927904093164191746227991401783072338466562473924532397178155;1.28353902773922056158968870834918376191458560123331345770358582E-7;0.000002269064840804598491892750824394227858324568032880841475275302419
1;3;0;R3;S2;R3;I understand;NA;0.7345103302206629349341891470721404;3.317841742583975681698257596193269469862032467037085381648569574519067;3.261500294927904093164191746227991401783072338466562473924532397178155;1.28353902773922056158968870834918376191458560123331345770358582E-7;0.000002269064840804598491892750824394227858324568032880841475275302419
1;4;0;R2;S1;R2;I understand;NA;0.21255496038563171194887805855851801;3.317841742583975681698257596193269469862032467037085381648569574519067;3.261500294927904093164191746227991401783072338466562473924532397178155;1.28353902773922056158968870834918376191458560123331345770358582E-7;0.000002269064840804598491892750824394227858324568032880841475275302419
1;5;0;R3;S2;R1;I understand;NA;0.7345103302206629349341891470721404;3.317841742583975681698257596193269469862032467037085381648569574519067;3.261500294927904093164191746227991401783072338466562473924532397178155;1.28353902773922056158968870834918376191458560123331345770358582E-7;0.000002269064840804598491892750824394227858324568032880841475275302419
2;0;0;R2;S1;R2;S3;NA;1.5612384849144378568367514246970921;6.5560472278354841223436765951525469225896484962511999549249819264812717610;6.5560472278354841223436765951525469705758751172624520683573330389125322911;0.0000056710247823464896578141621902541948554622925857128523549622682665566;0.0000056710247823464896578141621902541960781723338067229204339522612463456
2;0;0;R2;S1;R2;I understand;1.5179486997684417410337436580715477;0.19529563604869111748664308433248649;6.5560472278354841223436765951525469225896484962511999549249819264812717610;4.27273472456274697265960006610871552910423513650305817651771712960407750;5.540698568585597540948007105506648110555087939269848375351006165692E-7;0.00001711034784914709586383185980402740513770879054345109041843055990161
2;1;0;R1;S3;R1;S2;NA;1.5677911762152141910691074728553068;4.08198269331872636596652107745507625677696833989430906486464074117042223;4.27273472456274697265960006610871552910423513650305817651771712960407750;0.00000212760360526071829370232027492888262961414397966460114480678845296;0.00000440656846751261974160568416719667403790140065022043251756627635343
2;1;0;R1;S2;R1;S3;1.5768229184708472224401279241779403;1.5269618180794737231237861970216333;4.08198269331872636596652107745507625677696833989430906486464074117042223;2.9749971523168573622150482037788900875431693586566647211182924505103861;0.00000209069578315855662658050496649880100922501504516009904294462574632;0.0000014693944374330764520920708214394874839299571749589380622318910897
2;1;1;R1;I understand;NA;NA;0.61822607973131887528898027800912125;NA;3.5228362338646870236324366049170781549204512909555386973224437788405012;NA;NA;NA
2;2;0;R1;S2;R1;S3;NA;0.9877283371156119374136965801102638;3.5228362338646870236324366049170781549204512909555386973224437788405012;2.940585964620945798597467711983368641992686540616119375719571561910496;3.404434050525940308047127865240047650254492277388986545792257246E-7;3.2170565212817555418700411383599714262154452290958217992393778E-8
2;2;0;R1;I understand;NA;NA;0.61822607973131887528898027800912125;NA;3.5228362338646870236324366049170781549204512909555386973224437788405012;NA;NA;NA
2;3;0;R1;S3;R1;I understand;NA;0.45133762091852638825022610617409563;3.5228362338646870236324366049170781549204512909555386973224437788405012;2.12145520510928221402014367950988382674302036641719832768792638785447;3.38711305359775521207266445883681284670584737090083741932031464E-8;9.8007623066714276119527315426803733979789708287344866968955E-9
