pair;round;nrTurns;success
0;0;3;true
0;1;7;false
0;2;7;true
0;3;7;false
0;4;7;false
0;5;5;true
1;0;7;false
1;1;7;false
1;2;7;true
1;3;7;true
1;4;7;true
1;5;5;true
2;0;2;true
2;1;3;false
2;2;1;true
2;3;1;true
2;4;1;true
2;5;1;true
3;0;2;true
3;1;1;false
3;2;1;false
3;3;1;true
3;4;1;false
3;5;1;false
4;0;2;true
4;1;2;true
4;2;1;true
4;3;1;true
4;4;1;true
4;5;1;true
5;0;7;false
5;1;7;true
5;2;7;false
5;3;7;false
5;4;5;false
5;5;1;false
6;0;3;true
6;1;1;false
6;2;1;false
6;3;1;true
6;4;1;false
6;5;1;true
7;0;2;true
7;1;2;true
7;2;1;true
7;3;1;true
7;4;1;true
7;5;1;true
8;0;7;false
8;1;7;false
8;2;7;false
8;3;7;false
8;4;1;true
8;5;1;false
9;0;5;true
9;1;7;true
9;2;7;true
9;3;7;false
9;4;5;true
9;5;1;false
10;0;2;true
10;1;1;true
10;2;2;true
10;3;1;true
10;4;1;false
10;5;1;true
11;0;2;false
11;1;1;true
11;2;1;true
11;3;1;false
11;4;1;true
11;5;1;true
12;0;7;true
12;1;7;false
12;2;7;false
12;3;7;false
12;4;7;false
12;5;7;true
13;0;3;true
13;1;1;true
13;2;1;true
13;3;2;true
13;4;7;true
13;5;7;true
14;0;2;true
14;1;1;true
14;2;1;true
14;3;2;true
14;4;1;false
14;5;1;true
15;0;2;false
15;1;1;true
15;2;1;true
15;3;1;false
15;4;1;false
15;5;1;true
16;0;4;false
16;1;1;false
16;2;1;true
16;3;1;true
16;4;1;true
16;5;1;true
17;0;2;false
17;1;1;false
17;2;1;true
17;3;1;false
17;4;1;false
17;5;1;false
18;0;3;true
18;1;2;true
18;2;2;true
18;3;2;true
18;4;2;true
18;5;2;true
19;0;7;false
19;1;7;false
19;2;7;true
19;3;7;false
19;4;6;true
19;5;2;true
20;0;3;true
20;1;1;true
20;2;1;true
20;3;1;true
20;4;1;true
20;5;1;true
21;0;2;true
21;1;1;true
21;2;3;false
21;3;1;true
21;4;1;false
21;5;1;true
22;0;3;true
22;1;1;true
22;2;2;true
22;3;1;true
22;4;1;true
22;5;1;true
23;0;7;true
23;1;7;true
23;2;7;false
23;3;7;true
23;4;7;false
23;5;7;true
24;0;4;true
24;1;7;false
24;2;7;true
24;3;7;false
24;4;7;true
24;5;7;true
25;0;3;true
25;1;1;true
25;2;1;true
25;3;1;true
25;4;1;true
25;5;1;true
26;0;3;true
26;1;1;true
26;2;1;true
26;3;1;true
26;4;1;true
26;5;1;true
27;0;7;false
27;1;7;false
27;2;7;false
27;3;7;true
27;4;7;true
27;5;7;true
28;0;4;false
28;1;1;true
28;2;1;false
28;3;1;true
28;4;1;false
28;5;1;true
29;0;7;false
29;1;7;false
29;2;7;false
29;3;7;true
29;4;6;true
29;5;7;false
30;0;2;false
30;1;1;true
30;2;1;false
30;3;1;true
30;4;1;false
30;5;1;false
31;0;2;true
31;1;3;true
31;2;1;false
31;3;1;true
31;4;1;true
31;5;1;true
32;0;7;true
32;1;7;false
32;2;7;false
32;3;7;true
32;4;6;false
32;5;1;false
33;0;2;true
33;1;3;false
33;2;1;true
33;3;1;true
33;4;1;false
33;5;1;false
