pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;R1;S1;NA;1.5753357752796618698777356833183590;6.5855033579138608006673943690997482021670103786713522362953732975524551776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;0E-75;0E-75
0;0;0;R2;S3;R3;S3;1.5207848246446346616783573130739224;1.4454732346513579823390903473686776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;3.963402626262601197858517812226524971979659834875639000765959917270706798;5.59703322061475716477047981271227299248796865931306301019611467837868510193;1.8562102223817489707591106127449998718980072596302523639668243568385099275
0;0;1;R2;S4;R2;S4;1.4454732346513579823390903473686776;1.2369768956248650422434510263163406;3.963402626262601197858517812226524971979659834875639000765959917270706798;2.4323882578686628456074597913233899053705806665971282391090667138840166;7.9243973817944630304197820644994885698379119361420504271424696490510181633;1.476734634887681923234561956895486510102524843708602208329039596809135141
0;0;2;R2;S4;R1;I understand;1.2369768956248650422434510263163406;0.7182472352649290384116586424445981;2.4323882578686628456074597913233899053705806665971282391090667138840166;1.228125379641441074873154092012757747819222030286496818811879075990386;5.83879277227439232860202083589131882152636481039717948051190381002613661;2.195834562894270596842497909825033126331560728043481058823396763422195
0;1;0;R1;S2;R1;I understand;NA;0.7290735413509938888161151278992761;1.228125379641441074873154092012757747819222030286496818811879075990386;1.228125379641441074873154092012757747819222030286496818811879075990386;0E-71;0E-71
0;2;0;R2;S4;R2;I understand;NA;0.7182472352649290384116586424445981;1.228125379641441074873154092012757747819222030286496818811879075990386;1.228125379641441074873154092012757747819222030286496818811879075990386;0E-71;0E-71
0;3;0;R2;S4;R2;I understand;NA;0.7182472352649290384116586424445981;1.228125379641441074873154092012757747819222030286496818811879075990386;1.228125379641441074873154092012757747819222030286496818811879075990386;0E-71;0E-71
0;4;0;R1;S2;R1;I understand;NA;0.7290735413509938888161151278992761;1.228125379641441074873154092012757747819222030286496818811879075990386;1.228125379641441074873154092012757747819222030286496818811879075990386;0E-71;0E-71
0;5;0;R1;S2;R1;I understand;NA;0.7290735413509938888161151278992761;1.228125379641441074873154092012757747819222030286496818811879075990386;1.228125379641441074873154092012757747819222030286496818811879075990386;0E-71;0E-71
1;0;0;R2;S4;R3;S3;NA;1.5789781520466141980312134851029554;6.5855033579138608006673943690997482021670103786713522362953732975524551776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;0E-75;0E-75
1;0;0;R2;S1;R1;S3;1.5832088485133394328231189851635596;1.2578709365927453487964505069173784;6.5855033579138608006673943690997482021670103786713522362953732975524551776;4.113974619212821300378923456365273494305177727339004645830189956557672020;4.47856625942766528848120093283484640666218528883779163485095746637258770638;1.6647325265966440852554783766521450240654824450503186245304865862029202802
1;0;1;R2;S3;R3;S4;1.4816699085182980399205121086880229;1.5445505560761281313531905413778846;4.113974619212821300378923456365273494305177727339004645830189956557672020;2.3818891245555955076083636079428455294961180320833684803942091605485348;8.201144942588532223200098596938275685418056207322608733761894414909979754;1.96177903032998544577648240020645740499796439777714039566548024312369828
1;0;2;R2;S2;R1;S1;0.8865218128280708448367446480147056;1.3273413465487098143388123866358314;2.3818891245555955076083636079428455294961180320833684803942091605485348;1.5039099607762185801693832629493320503019745530233910188337228331162;7.770322686353416141686508475804042962674583725559007153439989174049;0.96264337548176857323599661920248265348699594567494796648251880239030
1;0;3;R2;S2;R2;S4;1.002626021174448320256173048332929297;1.01721401049137988521467816443868822;1.5039099607762185801693832629493320503019745530233910188337228331162;0.153708602137246384537905270078765892993870752742679557033219216862;4.532868863769998242696597716185403232252161026882003206508022306178908;2.6585483352189484138193997097229525000105386330157129275547855475768
1;0;4;R2;S2;R2;S4;1.04959925770599104791056719093089136;1.00000001401694228208740742903387140443478;0.153708602137246384537905270078765892993870752742679557033219216862;0.074813767437644592493470480265891024748913879533653482307337309794;0.034775532483375237244591315169852132432882523896263372023270522;0.008358397243309620045586585803956026140617776091832681360766507573
