pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;R2;S2;NA;1.5823630973979603371422820560469417;6.5560472278354841223436765951525469225896484962511999549249819264812717610;6.5560472278354841223436765951525469705758751172624520683573330389125322911;0.0000056710247823464896578141621902541948554622925857128523549622682665566;0.0000056710247823464896578141621902541960781723338067229204339522612463456
0;0;0;R2;S2;R3;S1;1.5683695962572808420090547689026473;1.0366461107110925875873466979928580;6.5560472278354841223436765951525469225896484962511999549249819264812717610;5.61455721973222917760673456138147185847970336557380925582722423467943375;0.0000014204401858531347791551982739200709519275922993520948064775126380341;0.000007804299858009293866920728246598666316975066377899648651901739337561
0;0;1;R2;S3;R1;S3;1.5634586866928869675047521062547130;1.5490839178968341850483221930793962;5.468353318294128324619409520053150168509009894686164607834508031098500869;4.6376750026895183097639517120405831125122872228071881195121429682288972;1.809546809846804871159258275060268225876544882559675505307607742E-8;9.420619487797072591491686821300618427778629575308649042730133592E-7
0;0;2;R2;S4;R3;S1;1.5536939738771677231876560934876893;1.5770421539253222124237520011860670;3.9993779349859827843284548760309408479855893396507659197481731132181494;3.568265281208316022924537322131965469397351899063478319897556050574691;3.9753787066862559179246722759136872753726988030123153437070603E-8;4.34740654155353867308016365944066675933121796497633319389063875E-7
0;0;3;R2;S2;R2;S4;1.5702485712471675648593817838716355;1.2312658017076863557069081833531297;3.59504168814200529371790777157671127078023553791223711906894884712215;2.76916777435870121013927846999574446031569706549639711845912800656128;6.664205410612204688139672404064206388905700539257416062714148E-8;1.08686535287539289753008007839171407595245914426583829542214E-7
0;0;4;R2;S3;R1;I understand;0.9757191916614830786978053110960235;0.5249481110066305546929718362107998;3.1904780786844957318467784709884429762310359999816914085189207225097;2.517033258119430569540990277328761467056442202651717901027096195343;1.4340494205266870959901276631445250489942829132272418395546268E-7;1.03129270951105161986431309391124399697290595256808338986431E-7
0;1;0;R3;S1;R2;S2;NA;1.5667809689729708729422818737352175;3.000953132282535816601567835533676306716461346154086516499489613679;2.517033258119430569540990277328761467056442202651717901027096195343;1.21358981493262769456279447574629964000815261326765004873464E-7;8.3280324084135518200531042956116709525318160984872682326600E-8
0;1;0;R3;S3;R1;I understand;1.1655682654025369862817181564158076;0.29552128278141594776934201496706079;3.000953132282535816601567835533676306716461346154086516499489613679;2.1641551061590794914734056889781227190023471407649895233862966133;1.81476706013243579734052383437971696217531265491632148831E-10;9.215393417136780734542713756287972669960385481027493629108E-8
0;2;0;R3;S2;R3;S4;NA;1.1705294320876507610955117842430340;1.8490121576442052542371823797847978892267239338918493381494568224;2.1641551061590794914734056889781227190023471407649895233862966133;1.1415983127002738463013854238913858580778856969079786537E-9;4.4242425561637784248650293418962525753719722868760115621E-10
0;2;0;R3;S4;R3;S2;1.1233274260611138912947794441282973;1.4587444212786344264284757396820224;1.8490121576442052542371823797847978892267239338918493381494568224;2.0025130560974176659876797809292397065402811396713153244132115;1.013137567565357891119315296109311591645057982412E-16;4.34992798341915799872121253844730383902129790E-10
0;2;1;R3;S2;R2;S1;1.1084140148679782973704158663874052;1.1883538451787933658334258940465292;1.5657346705217643493228344136793294204908163912656470439810049374;2.2772976724129069980190630704805654744653017601583475014637780;1.1569362079385359832306857401245815337760100965819E-16;5.081854368061851250722189640144448350021973449E-10
0;2;2;R3;S4;R3;S2;1.4999614345190357715628537509654459;1.3742670222645015005063507547860690;1.504878147450348678130642246319257938447464091226457563951452920;2.1451458894270649666278654277177414014768804909971922809687481;5.5720414531327973841639417665029347413086750884E-17;4.505035765828881147154742859012229776592094252E-10
