pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;R1;S1;NA;1.5639951808055095672720593916956917;6.5560472278354841223436765951525469225896484962511999549249819264812717610;6.5560472278354841223436765951525469705758751172624520683573330389125322911;0.0000056710247823464896578141621902541948554622925857128523549622682665566;0.0000056710247823464896578141621902541960781723338067229204339522612463456
0;0;0;R2;S1;R3;S4;1.5822895349361538207769404435509801;1.5708674046558828558911709439527491;6.5560472278354841223436765951525469225896484962511999549249819264812717610;3.889197771855975112360708581852501643531751590372005282760397977375432947;0.0000011394961381222246183716147393756939714371829985023363150392775555600;0.000004202500901656210398132638680461273599909998088915228529100800394155
0;0;1;R2;S3;R1;S2;1.2714562847462334097045134526250165;1.4662564355060629490829790018911202;3.79988095938601142593508889350499580041792840128920583565545219697841773;2.492812504147344092338778536578754078329342091002987000898679369752597;1.2791350257964604485032227968364036049016544497783005164197233235E-7;0.0000012971718037061752488199777478050269764834181971393510632127405160
0;0;2;R2;S3;R3;S1;0.30649009022879144251366504624136437;1.1872810053469834951679665730098836;2.1726474911621920109187797249717807274781917634991220719912589579322702;1.00736071956640564177418428265060503925777163227587389051773581845906;2.051969325080153643058646913290345915989681226325028285175694E-9;0.00000309862451349105703246991458339455757716406617727868352412312130
0;0;3;R2;S2;R2;S1;1.4885567075344883067612304569073721;1.04253680584591812248198480552295026;1.87436128394914022910842984054836652145986844063733818932094185130829;0.0675199950333786651656707095535014486441446705534159606682581591404;1.6113731405957758569457020493140127229171095907874237277666E-10;0.00000358235512528347571832347403064987150948462957097847489562092
0;0;4;R2;S2;R2;S2;1.5847049550934628414238953383980988;1.0000005064580141121334393003411166063636;1.043076723200335882327820236894697555287967965204219765971380161529;0.006101303650381030606669959798024732131494577377114512570734268781;8.0283788646010758880249942691765655117973488400766597177E-12;5.776036523043541145944733994195525726543883302485205113988E-10
0;0;5;R2;S2;NA;NA;1.2040224737139401701447555281226577;NA;0.745833630195548017293850859360671446960758546790340603053254097434;NA;NA;NA
0;1;0;R2;S2;R2;S4;NA;1.00000002118821805028264119301843398625457;0.41744167266064798916597369607640881078865591556363792875546431;0.0077733380682524692129241112068437201648425799049349111664438502;3.456441228015578762866654964934281639693849974E-12;-6.617524749787373823064144584784040024E-22
0;1;0;R2;S2;R1;S3;1.5849625007210781559261451648298381;1.0000000008938099847063419832242600796438455;0.41744167266064798916597369607640881078865591556363792875546431;0.0099285594487925680439998691696648720424129214875462385870943;3.454048640560980993948078178785402571707728024E-12;-8.707042280068342296846563816958518703E-22
0;1;1;R2;S2;R1;S3;1.04241981687349638033849798639485788;1.00000000003906138313294424544619958055192605;0.197173843084417425052968541070773345174284193872976080879;0.012666935913565292963829921819028186764495996501762638343608937;1.86371934000085444620243036487776461441501906603E-12;-1.112989049305868021959564517240227500585E-21
