pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S4;R3;S2;NA;1.5790150105568218629460305287842444;6.5855033579138608006673943690997482021670103786713522362953732975524551776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;0E-75;0E-75
0;0;0;R2;S1;R2;S1;1.5754755577620026960196486394946796;1.2687203675226239063445232060317831;6.5855033579138608006673943690997482021670103786713522362953732975524551776;4.154892087049898807870856207841514787886714809828169083066122335778239450;1.76449417387282076836696974415554527484008240197655121577984771854255226552;1.6343612832932711818088176857422753993635276635727412209812824601780637970
0;0;1;R2;S1;R2;I understand;1.2687203675226239063445232060317831;0.14328582163128214476359122606251613;4.154892087049898807870856207841514787886714809828169083066122335778239450;2.21221861543178317024926572856855988460649505493234795089657968129586671;3.7267323844284585615676869563407581363637699218025599836660148307489311386;1.287726814576553261857470518952926186802170249302424888635445865258158469
0;1;0;R1;S3;R1;S3;NA;1.1646988342788966710643430773178359;2.21221861543178317024926572856855988460649505493234795089657968129586671;2.21221861543178317024926572856855988460649505493234795089657968129586671;0E-73;0E-73
0;1;0;R1;S3;R1;I understand;1.1646988342788966710643430773178359;0.26176496878349812855776246369295437;2.21221861543178317024926572856855988460649505493234795089657968129586671;0.628160674776034037894387115625086311420289942121628824801243928650304;2.30088131284696746177968983683605849827912782652487415190880503058457843;1.38062808483803813327665932983171083310890128868378840652331036947559851
0;2;0;R3;S4;R3;I understand;NA;0.25873858325311163667415377547182832;0.628160674776034037894387115625086311420289942121628824801243928650304;0.628160674776034037894387115625086311420289942121628824801243928650304;0E-71;0E-71
0;3;0;R3;S4;R3;I understand;NA;0.25873858325311163667415377547182832;0.628160674776034037894387115625086311420289942121628824801243928650304;0.628160674776034037894387115625086311420289942121628824801243928650304;0E-71;0E-71
0;4;0;R1;S3;R1;I understand;NA;0.26176496878349812855776246369295437;0.628160674776034037894387115625086311420289942121628824801243928650304;0.628160674776034037894387115625086311420289942121628824801243928650304;0E-71;0E-71
0;5;0;R2;S1;R2;I understand;NA;0.24050640894559080667722252628587206;0.628160674776034037894387115625086311420289942121628824801243928650304;0.628160674776034037894387115625086311420289942121628824801243928650304;0E-71;0E-71
1;0;0;R2;S4;R2;S4;NA;1.5790150105568218629460305287842444;6.5855033579138608006673943690997482021670103786713522362953732975524551776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;0E-75;0E-75
1;0;0;R2;S4;R1;I understand;1.5790150105568218629460305287842444;0.23380583712971819011743814296111944;6.5855033579138608006673943690997482021670103786713522362953732975524551776;3.80695051696539020575950442539917537966385108620970316406668999395366620;2.11068792414949779537926510686206423142104904383545110861988063183782278917;2.0266813003025295496136606970918396847585323138404927020248560151647813411
1;1;0;R1;S1;R1;S1;NA;1.4333249013810657582886706198535496;3.80695051696539020575950442539917537966385108620970316406668999395366620;3.80695051696539020575950442539917537966385108620970316406668999395366620;0E-74;0E-74
1;1;0;R1;S1;R1;S1;1.4333249013810657582886706198535496;0.8739061709897333701870709055200917;3.80695051696539020575950442539917537966385108620970316406668999395366620;3.2654223656054002219610467031569284680504517370088438264970569164566798;2.9894078385931218633987141866380543583601091800764209436028799633756378438;1.911056300280751905512480482361694910190606255855330344110505832469897586
1;1;1;R1;S1;R1;I understand;0.8739061709897333701870709055200917;0.4941692544391136638121133673242867;3.2654223656054002219610467031569284680504517370088438264970569164566798;2.80767304818636801532176794155174413700687243826995574110513329766211;0.21061124587717676168612673449897277813043093906792823443333572531404267;0.15943853763040150900029146596980316455773511149683394647874681063411603
1;2;0;R2;S4;R2;I understand;NA;0.48373625158819385700981807470893790;2.80767304818636801532176794155174413700687243826995574110513329766211;2.80767304818636801532176794155174413700687243826995574110513329766211;0E-70;0E-70
1;3;0;R2;S4;R2;I understand;NA;0.48373625158819385700981807470893790;2.80767304818636801532176794155174413700687243826995574110513329766211;2.80767304818636801532176794155174413700687243826995574110513329766211;0E-70;0E-70
1;4;0;R3;S3;R2;S4;NA;1.3857119096390221945913287719169992;2.80767304818636801532176794155174413700687243826995574110513329766211;2.80767304818636801532176794155174413700687243826995574110513329766211;0E-70;0E-70
1;4;0;R3;S2;R1;S1;0.48373625158819385700981807470893790;1.5019583512191502425844981559899173;2.80767304818636801532176794155174413700687243826995574110513329766211;2.6028923274037737266664890455247315162270962766068939132842894433167;2.5505174106822952553317056516196058945012298419630557353231098098562893;1.95337190885217628137970197405722573931203025353502195518703638855697
1;4;1;R3;S3;R3;S3;1.4083823217539425020090703399999391;1.2168530315673178829554999344907230;2.6028923274037737266664890455247315162270962766068939132842894433167;1.257863800569923031865815001440742914797254541672872618214721830846;1.230656995376730882368224909590385645574605353336659647291937662871628;1.09008443765787117898370710095420364340412235501563140409017939072036
1;4;2;R3;S3;R3;S2;1.2168530315673178829554999344907230;1.0002346511549603571536126886877808605;1.257863800569923031865815001440742914797254541672872618214721830846;0.84013831648711768121389633996854602105499653979049741955610526086;0.086692521755469533935701359016607560606095966112441425872391897;0.127104195793508814217126272468136809441981763732108912130477883288
1;4;3;R3;S2;R3;S3;1.01667033679484105663011178577048466;1.01295412586317236115516552046651545;0.84013831648711768121389633996854602105499653979049741955610526086;1.01817414438871600296096448314534207458394829811327837293572243;0.0124859385527818082141773676740792623995149937473314361040465020;0.011103022273786654765702120108508836740004678850203065716153079
1;4;4;R3;S2;R1;S1;1.000006826893184226376092651864252711937;1.0005148547282472932720349533334136965;1.01817414438871600296096448314534207458394829811327837293572243;0.6328928820038691406459744357214011983548467035763729027527548;0.241942246660794488468716273106511707441727615911569296033308236;0.086783085969159389741782113217281933927775800586733021134656749
1;4;5;R3;S3;NA;NA;1.01155807010981425652163929887494145;NA;0.6328928820038691406459744357214011983548467035763729027527548;NA;NA;NA
1;5;0;R3;S3;R2;S3;NA;1.000000002093002153021052367041526273623391;0.6966613902087576781801100919686043258912249276123541084223668;0.6966613902087576781801100919686043258912249276123541084223668;0E-63;0E-63
1;5;0;R3;S2;R1;S1;1.000000002093002153021052367041526273623391;1.00002902234614310098763727502331470839;0.6966613902087576781801100919686043258912249276123541084223668;0.785476234261482134325478562353871456617754291516947857651305;0.006279948498558766789000569427220878016547483826569112044718633;0.006629396580750828448149980779504446917742788591840102916423839
1;5;1;R3;S3;R3;S2;1.0009067089103135193927411152816444838;1.000000000009128216575727115820128972180874266;0.785476234261482134325478562353871456617754291516947857651305;0.864833206087257652747827923010448446540354930381198741593572;0.007583408778428717480894041016471676696249344344841516031980136;0.007732980789202206884229943264671797076911237609323172865440284
1;5;2;R3;S2;R1;S2;1.000001029543741427005643262684825771043;1.000001636095167442826764311202400147186;0.864833206087257652747827923010448446540354930381198741593572;0.931689158094870992571254931408738448724507644680822541187512;0.008269200232896097490672113458316809664606831760438167838986411;0.008556072145941052980334572990183814511484346713722752793910296
1;5;3;R3;S2;R3;S3;1.000001636095167442826764311202400147186;1.00000005627110317524871448131699387011448;0.931689158094870992571254931408738448724507644680822541187512;0.9779941113075254695525467946505078576078175359146409766;0.00906608845436514379923262052902529720193327424130586815;0.00926265729623185003958930726568200529295205905534410147
1;5;4;R3;S3;R3;S2;1.00000000000003582648345572996752630970801310326;1.000000000000002159527921014737421603041950112774;0.9779941113075254695525467946505078576078175359146409766;0.999039727826049089100519868450482001173718473121417368818;0.00956251848748024357363272718656021231528410502505891002;0.0096566975316005779092232618855995044160306682031714641775
1;5;5;R3;S3;NA;NA;1.000000001867707714464157564604848081412579;NA;0.999039727826049089100519868450482001173718473121417368818;NA;NA;NA
2;0;0;R2;S2;R3;S4;NA;1.5754755577620026960196486394946796;6.5855033579138608006673943690997482021670103786713522362953732975524551776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;0E-75;0E-75
2;0;0;R2;S4;R2;S4;1.5790150105568218629460305287842444;1.3517458865048791950106771114834167;6.5855033579138608006673943690997482021670103786713522362953732975524551776;4.20963793438327371518312069783393721854823439616052216823012691194157086;1.84698274512592970380727066091098239455285320224879261172460850572445259444;1.7103287043544050199040078864972907602818311480765978611022758440174887037
2;0;1;R2;S4;R2;I understand;1.3517458865048791950106771114834167;0.19249666195573045313208318283345788;4.20963793438327371518312069783393721854823439616052216823012691194157086;2.06374260817813799394196045996024123131806487144365123415653459010075540;1.1580651347425193526469646191104744766604637050809941483381514272309268752;1.2255183305004492040061048988437210731135870324585534771997957551098005236
2;1;0;R1;S3;R1;S1;NA;1.5703344767507610533487173881597894;2.06374260817813799394196045996024123131806487144365123415653459010075540;2.06374260817813799394196045996024123131806487144365123415653459010075540;0E-73;0E-73
