pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R1;S2;R1;S3;NA;0.9210323711272302031560955631018376;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
0;0;0;R1;S3;R1;I understand;0.9999863459471860823502758434737158;0.17724834281233936326537818071717505;3.308978125169862621149864231478368493798318;1.13553470907723907017228163736322234794108822778;10.77328797721442899958952051909208674135998;2.20914505431935833615176307615011833835074273228
0;1;0;R1;S3;R1;I understand;NA;0.17724834281233936326537818071717505;1.022613768054107254327292142193977351078590847;1.13553470907723907017228163736322234794108822778;0.9551685492288160193697620043718733930073820252;0.90700541861633414106458721760990709210485860566
0;2;0;R1;S3;R1;I understand;NA;0.17724834281233936326537818071717505;1.022613768054107254327292142193977351078590847;1.13553470907723907017228163736322234794108822778;0.9551685492288160193697620043718733930073820252;0.90700541861633414106458721760990709210485860566
0;3;0;R2;S1;R2;I understand;NA;0.026854444598036288682995652970269793;1.022613768054107254327292142193977351078590847;1.13553470907723907017228163736322234794108822778;0.9551685492288160193697620043718733930073820252;0.90700541861633414106458721760990709210485860566
0;4;0;R1;S3;R1;I understand;NA;0.17724834281233936326537818071717505;1.022613768054107254327292142193977351078590847;1.13553470907723907017228163736322234794108822778;0.9551685492288160193697620043718733930073820252;0.90700541861633414106458721760990709210485860566
0;5;0;R1;S2;R1;I understand;NA;0.17726230038066262070752693915781777;1.022613768054107254327292142193977351078590847;1.13553470907723907017228163736322234794108822778;0.9551685492288160193697620043718733930073820252;0.90700541861633414106458721760990709210485860566
1;0;0;R1;S2;R2;S2;NA;0.9210323711272302031560955631018376;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
1;0;0;R1;I understand;NA;NA;0.7140617492290166178532563780915848;NA;3.308978125169862621149864231478368493798318;NA;NA;NA
1;1;0;R2;S3;R2;I understand;NA;0.7000349701940648191032240306194307;3.308978125169862621149864231478368493798318;2.65241078746182428431902410636954957006775113626;15.740137005996186234987374367307617940895625;3.67312765534703468757232504348658272287253372351
1;2;0;R1;S2;R2;S1;NA;0.9937123033352709945761366263025270;3.308978125169862621149864231478368493798318;2.65241078746182428431902410636954957006775113626;15.740137005996186234987374367307617940895625;3.67312765534703468757232504348658272287253372351
1;2;0;R1;S1;R1;I understand;0.9581139537524149744205552582820597;0.0059231194187612159340302191148540339;3.308978125169862621149864231478368493798318;0.0061912123357251512903084558817712293110711465743810983879;26.938072578767219077945425583880479091042305;4.2606536390354996334287523772202167390601064493762240384185
1;3;0;R2;S3;R2;S3;NA;0.9416205956467734160066392725210565;0.7373226261618854301329483945706864776197590;0.0061912123357251512903084558817712293110711465743810983879;1.3977020222185404076454406468996727314667353;0.1574278849989165628212106392944745635259436069880271767500
1;3;0;R2;I understand;NA;NA;0.7838221346052125869511538204987822;NA;0.7373226261618854301329483945706864776197590;NA;NA;NA
1;4;0;R1;S2;R1;S3;NA;0.9814406590194111160724819623700539;0.7373226261618854301329483945706864776197590;1.617434253655049542346093916540513664969787164143375271481;13.00476708141404919264224814628570116916018221;12.320626528383194180618110648918074070973483986715913428826
1;4;0;R1;S1;R1;S2;0.7838221346052125869511538204987822;0.9999999999999999999940524040126835;0.7373226261618854301329483945706864776197590;0.48035550100474378899574191781944774944252010456973067652;22.8922705018216784029792562153664320509441667;11.565637184695616927641882609265612279073443171719795605049
1;4;1;R1;S2;R1;S1;0.9999977787444913909650495022590059;0.9999999315244328218201384786717365;0.01361336146196738640925792809976348431437327505;0.0031174796635198442659954880439401659335251530236656445;0.00208661543098641941131516768068771186684728468;0.00066762684258840888281872096527267283884090431523431342
1;4;2;R1;S3;R1;S2;0.9999984171958931502311298657588148;0.9999999999999999949520995789284363;0.011288547335011383179602234444477261264427977191409303026;2.0194556409740464955087928287857386963912079370173E-7;0.011079156464118843181917705257974462597381856728;0.00098844782195571593071593223072046893434352192358326463
1;4;3;R1;S3;R1;S1;0.9998747751928939905638504842054412;0.9999999999999995911216446463842794;0.072881493327530241917716785564219965954910927627297805378;4.78954278826137224448571302322766836119654E-7;0.22120015628444890806536351525386858315122224963260;0.0088617753112985564255198057925021621117383730668
1;4;4;R1;S2;R1;S2;0.9999999999999905271338869256988404;0.9999999999999999999999999698782652;0.0000019164270841498282766681869418734574218613759357858012;6.62860024285569504019475667991626577078432E-12;0.00000191582164211669251111251319082740208047020215;7.6397710309005742098755188970530978809623115715E-8
1;4;5;R1;S1;NA;NA;0.9999999999999999999999993021323932;NA;2.7484756221033102530565075760722742703374806320E-11;NA;NA;NA
1;5;0;R1;S2;R2;S2;NA;0.9999999999999999999999975601487394;2.2865489607523578551670148796650892966125750E-10;5.53894305198184444529266024127146818579E-11;8.049264011472685950817180133522631548940208E-11;1.860194074919739280573952632410564300404E-11
1;5;0;R1;S2;R2;S1;0.9999999999999999999999434729394827;0.9999999999999999999998023727913543;2.2865489607523578551670148796650892966125750E-10;4.60093280071766887437760354537576626172E-10;7.819015452902792677796617620459984183616564E-11;1.468291066487375163546399505717362350934E-10
1;5;1;R1;S1;R1;S2;0.9999999999999999999954214099664462;0.9999999999999999999999999999999323;1.8895235176877521938883816721891616979362165E-9;1.09462028981741943118093082202325647E-14;6.0910466865200746980495721310580726E-10;5.3111049326400626102686473429421634348E-11
1;5;2;R1;S3;R1;S1;0.9999999999999999996291356224857475;1.0000000000000000000000000000000000;1.54901660350581990056256335727931601236078203E-8;0.0;-4.780188972545651673252656646130342E-10;4.780188974830672336215787116300304E-10
1;5;3;R1;S1;R2;S2;0.9999999999999999699601003598057563;1.0000000000000000000000000000000000;1.257737093024924569222104883350197795572E-7;0.0;-4.302161844848654830595974126821715E-9;4.302161863357251489308022725006907E-9
1;5;4;R1;S1;R1;S2;0.9999999999999999999999999977869946;1.0000000000000000000000000000000000;1.70098236806792511358587463519595471E-12;0.0;-3.692564773017089535856988861136650E-14;3.692564773017225886226979413035700E-14
1;5;5;R1;S3;NA;NA;0.9999999999999999999999998207526024;NA;1.42551453586078104978734235971554999E-11;NA;NA;NA
2;0;0;R2;S3;R2;I understand;NA;0.7978985911340290530887117742831576;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
2;1;0;R2;S1;R1;S2;NA;0.8212569005967262678605849730844709;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
2;1;0;R2;S3;R2;S3;0.7140617492290166178532563780915848;0.9649764439719451010907509183983265;3.308978125169862621149864231478368493798318;0.0064810665156174167404422404369617947926436988;12.878411770391497405077495260275718039390034;4.26057166666682730349918222056386559056312846417
2;1;1;R2;I understand;NA;NA;0.7838221346052125869511538204987822;NA;0.7373226261618854301329483945706864776197590;NA;NA;NA
2;2;0;R1;S2;R2;S2;NA;0.9503068055943043169991870807891081;0.7373226261618854301329483945706864776197590;2.0886894863115984476700775308710097130212486429;13.75467985901467168696546478547745356503640282;11.5019190696380083165153420398648934231604859248
2;2;0;R1;I understand;NA;NA;0.16024858417952516364331285086733229;NA;0.7373226261618854301329483945706864776197590;NA;NA;NA
2;3;0;R2;S3;R2;S1;NA;0.8912014169552692914081318266217325;0.7373226261618854301329483945706864776197590;1.617434253655049542346093916540513664969787164143375271481;13.00476708141404919264224814628570116916018221;12.320626528383194180618110648918074070973483986715913428826
2;3;0;R2;S2;R1;S2;0.16069759764930581762910166155671764;0.9999999979691420927224543616961920;0.7373226261618854301329483945706864776197590;0.00064827828057098587882295713729218201949184670953247507838;19.8420116832902583370132798927477178786329597;2.704419673245458195620295916763446413206758026439340687864913
2;3;1;R2;S1;R1;S1;0.9999999804067950276491223914886996;0.9999999999999999995181753866366616;0.0137835544523319584282862674213084066078308788432;0.004760028673632800984553691331997095538158655826465933;0.049115319019616866920975295240288666619850427947087;0.0049817731350147924699466452907006988939410768075687095
2;3;2;R2;S1;R2;S1;0.9999984171958931514066680435818706;0.9999999999999999609723556316565186;0.011288848225856644535169752680967908228597181622735127726;1.4258987198269951677948791248147267339555021702E-7;0.011079445361248222045790342434965302618447692477;0.000988462916881684498192185298202023501710982265606980
2;3;3;R2;S3;R2;S1;0.9998747751928983552399038410930606;1.0000000000000000000000000000000001;0.0728814933275617970979521839656358184562331828162216553703;0.00000114327480671033314005241513736989238505938779910;0.098895408395033727312907502383844916723297320630;0.00886098901512316125569134082675560012579213692158724
2;3;4;R2;S3;R2;S2;0.9916832195891468469507519199564291;1.0000000000000000000000000000000000;0.3812863292442583630495839283871641777355492315675980299033258;1.61939861324153273413873004645860058483237E-11;1.85698639317204377492654037772668369799974609438;0.0770614253305245895887938077294593291102782435595759
2;3;5;R2;S1;NA;NA;0.9999999999992327021787237819628257;NA;0.000015068225600961066576803366299094774230330429630;NA;NA;NA
2;4;0;R2;S3;R2;S3;NA;1.0000000000000000000000000000000000;2.2865492056012399298269322442963472964143E-10;1.93629507849718117553974636279112741E-16;7.9146830380468948073091932193900942E-11;5.90149501417221355178815250635058413317E-12
2;4;0;R2;S3;R2;S3;0.9999999999999999999999999999999953;1.0000000000000000000000000000000000;2.2865492056012399298269322442963472964143E-10;0.0;-5.901545136669301391322490344069353E-12;5.901545136704129626322687574179153E-12
