pair;round;nrTurns;success
0;0;1;false
0;1;2;true
0;2;2;true
0;3;7;true
0;4;7;false
0;5;7;true
1;0;2;true
1;1;1;true
1;2;1;true
1;3;2;true
1;4;1;true
1;5;7;true
2;0;2;true
2;1;4;true
2;2;7;true
2;3;7;false
2;4;6;true
2;5;1;false
3;0;2;false
3;1;2;true
3;2;1;true
3;3;1;true
3;4;2;true
3;5;1;true
4;0;1;true
4;1;2;true
4;2;3;true
4;3;7;true
4;4;7;false
4;5;7;true
5;0;4;true
5;1;7;false
5;2;7;false
5;3;7;true
5;4;1;true
5;5;1;false
6;0;5;true
6;1;7;true
6;2;7;true
6;3;6;false
6;4;1;false
6;5;1;true
7;0;4;true
7;1;1;false
7;2;5;false
7;3;1;false
7;4;2;false
7;5;3;true
8;0;5;true
8;1;7;true
8;2;7;false
8;3;6;false
8;4;1;true
8;5;1;true
9;0;2;true
9;1;7;false
9;2;7;false
9;3;7;false
9;4;3;true
9;5;1;true
10;0;1;true
10;1;1;true
10;2;2;true
10;3;1;true
10;4;1;true
10;5;1;true
11;0;2;true
11;1;2;true
11;2;1;true
11;3;1;true
11;4;7;false
11;5;7;true
12;0;3;false
12;1;3;false
12;2;1;false
12;3;1;false
12;4;2;false
12;5;7;false
13;0;1;true
13;1;2;true
13;2;1;true
13;3;1;false
13;4;1;true
13;5;1;true
14;0;2;true
14;1;1;true
14;2;1;true
14;3;2;true
14;4;1;true
14;5;7;true
15;0;4;true
15;1;3;false
15;2;2;true
15;3;4;false
15;4;2;false
15;5;4;true
16;0;2;true
16;1;1;true
16;2;1;false
16;3;2;true
16;4;1;true
16;5;1;true
17;0;2;true
17;1;1;true
17;2;1;true
17;3;1;true
17;4;1;true
17;5;1;true
18;0;1;true
18;1;1;false
18;2;4;true
18;3;1;false
18;4;7;false
18;5;7;false
19;0;4;true
19;1;1;true
19;2;2;false
19;3;2;false
19;4;7;true
19;5;1;true
20;0;4;false
20;1;2;true
20;2;1;true
20;3;1;true
20;4;1;true
20;5;1;true
21;0;2;true
21;1;2;true
21;2;3;true
21;3;7;false
21;4;7;false
21;5;6;true
22;0;5;false
22;1;2;false
22;2;1;true
22;3;1;false
22;4;1;false
22;5;1;false
23;0;2;true
23;1;1;true
23;2;1;true
23;3;3;true
23;4;7;true
23;5;7;false
24;0;2;true
24;1;1;true
24;2;4;false
24;3;1;true
24;4;7;false
24;5;7;false
25;0;6;true
25;1;1;true
25;2;1;true
25;3;3;false
25;4;7;false
25;5;7;false
26;0;2;true
26;1;2;true
26;2;1;true
26;3;3;true
26;4;7;true
26;5;7;true
27;0;4;true
27;1;1;false
27;2;2;false
27;3;2;true
27;4;7;true
27;5;7;true
28;0;2;true
28;1;2;true
28;2;1;true
28;3;2;true
28;4;1;true
28;5;7;false
29;0;4;true
29;1;1;true
29;2;7;true
29;3;7;false
29;4;7;false
29;5;1;false
30;0;4;true
30;1;1;true
30;2;1;true
30;3;1;true
30;4;1;false
30;5;1;true
31;0;2;true
31;1;1;true
31;2;3;true
31;3;1;true
31;4;1;true
31;5;1;true
32;0;2;true
32;1;4;false
32;2;3;false
32;3;3;false
32;4;2;false
32;5;2;false
33;0;1;true
33;1;2;true
33;2;2;true
33;3;3;false
33;4;2;false
33;5;3;false
34;0;2;true
34;1;7;true
34;2;4;true
34;3;7;true
34;4;6;true
34;5;1;false
35;0;7;false
35;1;7;false
35;2;7;true
35;3;4;false
