pair;round;nrTurns;success
0;0;2;false
0;1;1;false
0;2;1;true
0;3;1;true
0;4;1;true
0;5;1;true
1;0;2;true
1;1;2;true
1;2;1;false
1;3;3;true
1;4;1;true
1;5;1;true
2;0;1;true
2;1;4;true
2;2;2;false
2;3;1;true
2;4;4;true
2;5;1;true
3;0;2;true
3;1;1;true
3;2;1;true
3;3;1;true
3;4;1;true
3;5;1;true
4;0;2;true
4;1;6;false
4;2;4;true
4;3;1;true
4;4;5;false
4;5;2;true
5;0;3;true
5;1;1;true
5;2;1;true
5;3;1;true
5;4;1;true
5;5;1;true
6;0;1;false
6;1;2;true
6;2;1;true
6;3;1;false
6;4;1;true
6;5;1;true
7;0;5;true
7;1;1;true
7;2;1;true
7;3;1;true
7;4;1;true
7;5;1;true
8;0;7;false
8;1;3;false
8;2;3;false
8;3;7;false
8;4;7;false
8;5;2;true
9;0;2;true
9;1;1;true
9;2;1;true
9;3;1;true
9;4;1;true
9;5;1;true
10;0;1;true
10;1;2;true
10;2;5;true
10;3;2;false
10;4;2;false
10;5;3;true
11;0;1;false
11;1;1;true
11;2;3;false
11;3;1;true
11;4;1;true
11;5;1;false
12;0;4;false
12;1;1;true
12;2;1;true
12;3;1;false
12;4;1;false
12;5;1;true
13;0;4;true
13;1;1;false
13;2;5;false
13;3;7;true
13;4;2;true
13;5;2;false
14;0;2;true
14;1;1;true
14;2;1;false
14;3;1;true
14;4;1;false
14;5;1;true
15;0;1;true
15;1;2;false
15;2;1;false
15;3;1;false
15;4;1;false
15;5;1;true
16;0;2;true
16;1;1;true
16;2;1;true
16;3;2;false
16;4;1;true
16;5;1;true
17;0;3;false
17;1;1;true
17;2;1;false
17;3;2;false
17;4;1;false
17;5;5;false
18;0;2;false
18;1;1;true
18;2;1;true
18;3;1;true
18;4;1;false
18;5;1;false
19;0;2;false
19;1;1;false
19;2;1;true
19;3;1;false
19;4;1;true
19;5;1;false
20;0;1;true
20;1;1;false
20;2;2;true
20;3;1;true
20;4;1;true
20;5;1;true
21;0;1;true
21;1;2;true
21;2;3;false
21;3;6;false
21;4;1;true
21;5;1;false
22;0;2;true
22;1;1;true
22;2;1;true
22;3;1;true
22;4;1;true
22;5;1;true
23;0;1;true
23;1;3;false
23;2;1;true
23;3;1;true
23;4;3;false
23;5;2;false
24;0;2;false
24;1;7;false
24;2;2;false
24;3;1;false
24;4;1;true
24;5;1;false
25;0;2;true
25;1;1;true
25;2;1;true
25;3;1;false
25;4;1;false
25;5;1;true
26;0;2;true
26;1;1;true
26;2;1;true
26;3;1;true
26;4;1;false
26;5;1;true
27;0;3;false
27;1;2;true
27;2;1;true
27;3;1;true
27;4;1;true
27;5;1;true
28;0;2;true
28;1;1;false
28;2;1;true
28;3;1;true
28;4;1;true
28;5;1;true
29;0;1;true
29;1;4;true
29;2;1;false
29;3;1;true
29;4;2;true
29;5;3;false
30;0;2;false
30;1;1;true
30;2;1;false
30;3;1;false
30;4;1;true
30;5;1;false
31;0;2;true
31;1;4;true
31;2;4;false
31;3;1;true
31;4;3;false
31;5;1;true
32;0;2;false
32;1;1;true
32;2;1;false
32;3;1;true
32;4;1;false
32;5;1;true
33;0;1;false
33;1;1;true
33;2;1;false
33;3;4;true
33;4;1;true
33;5;2;false
34;0;1;true
34;1;1;false
34;2;4;false
34;3;6;false
34;4;1;true
34;5;1;false
35;0;2;true
35;1;1;true
35;2;1;false
35;3;1;true
35;4;1;true
35;5;1;false
36;0;1;false
36;1;1;true
36;2;3;false
36;3;3;true
36;4;1;true
36;5;1;true
37;0;1;true
37;1;2;true
37;2;2;false
37;3;1;true
37;4;1;false
37;5;1;false
38;0;2;true
38;1;2;true
38;2;1;false
38;3;2;true
38;4;1;true
38;5;2;false
39;0;1;false
39;1;2;false
39;2;2;true
39;3;3;true
39;4;2;true
39;5;3;false
40;0;2;false
40;1;1;false
40;2;1;true
40;3;1;false
40;4;1;true
40;5;1;true
41;0;2;false
41;1;1;false
41;2;1;false
41;3;1;true
41;4;1;false
41;5;1;true
42;0;2;true
42;1;1;true
42;2;1;true
42;3;3;true
42;4;1;true
42;5;1;true
43;0;1;true
43;1;1;false
43;2;6;false
43;3;1;false
43;4;2;false
43;5;1;true
44;0;1;true
44;1;4;false
44;2;1;false
44;3;1;false
44;4;1;false
44;5;1;false
45;0;3;false
45;1;2;false
45;2;1;true
45;3;1;true
45;4;1;false
45;5;1;true
46;0;1;false
46;1;1;true
46;2;1;true
46;3;1;true
46;4;2;true
46;5;3;false
47;0;5;true
47;1;1;false
47;2;2;true
47;3;6;false
47;4;3;false
47;5;3;true
48;0;2;false
48;1;1;true
48;2;1;false
48;3;1;false
48;4;1;true
48;5;1;false
49;0;2;false
49;1;1;true
49;2;1;false
49;3;1;true
49;4;1;false
49;5;1;true
50;0;2;true
50;1;1;true
50;2;4;false
50;3;3;true
50;4;1;false
50;5;4;false
51;0;2;true
51;1;3;false
51;2;1;false
51;3;1;false
51;4;1;true
51;5;1;true
52;0;3;false
52;1;1;true
52;2;1;true
52;3;1;true
52;4;1;false
52;5;1;true
53;0;1;true
53;1;1;true
53;2;2;true
53;3;1;false
53;4;1;true
53;5;1;true
54;0;1;true
54;1;5;false
54;2;2;false
54;3;2;false
54;4;2;false
54;5;2;false
55;0;2;true
55;1;2;true
55;2;3;true
55;3;1;true
55;4;2;false
55;5;1;false
56;0;2;false
56;1;1;false
56;2;1;false
56;3;1;true
56;4;1;false
56;5;1;false
57;0;5;false
57;1;1;true
57;2;2;true
57;3;5;false
57;4;3;false
57;5;2;false
58;0;6;true
58;1;3;true
58;2;1;true
58;3;4;false
58;4;2;false
58;5;4;false
59;0;2;true
59;1;1;true
59;2;1;true
59;3;2;false
59;4;1;true
59;5;1;false
60;0;1;false
60;1;4;false
60;2;2;true
60;3;1;true
60;4;1;true
60;5;1;true
61;0;2;false
61;1;1;false
61;2;1;false
61;3;1;true
61;4;1;true
61;5;1;true
62;0;3;true
62;1;1;true
62;2;1;true
62;3;1;true
62;4;7;true
62;5;5;true
63;0;2;true
63;1;1;false
63;2;1;false
63;3;1;false
63;4;1;true
63;5;1;true
64;0;1;false
64;1;6;false
64;2;2;false
64;3;3;true
64;4;5;false
64;5;6;true
65;0;1;true
65;1;2;true
65;2;1;false
65;3;1;true
65;4;1;true
65;5;1;true
66;0;1;true
66;1;2;false
66;2;1;false
66;3;1;false
66;4;1;true
66;5;1;false
67;0;2;false
67;1;1;false
67;2;1;true
67;3;1;true
67;4;1;true
67;5;1;true
68;0;2;true
68;1;1;true
68;2;1;false
68;3;1;true
68;4;1;true
68;5;1;false
69;0;4;false
69;1;1;true
69;2;1;true
69;3;3;false
69;4;4;true
69;5;1;true
70;0;2;true
70;1;1;true
70;2;1;false
70;3;1;true
70;4;1;true
70;5;1;true
71;0;3;false
71;1;1;false
71;2;1;false
71;3;1;false
71;4;1;true
71;5;1;false
72;0;1;false
72;1;2;true
72;2;1;false
72;3;1;false
72;4;1;true
72;5;1;false
73;0;1;false
73;1;3;false
73;2;1;false
73;3;1;true
73;4;1;true
73;5;1;true
74;0;2;true
74;1;3;false
74;2;1;true
74;3;5;false
74;4;5;false
74;5;2;false
75;0;3;false
75;1;1;false
75;2;1;false
75;3;1;true
75;4;1;true
75;5;1;true
76;0;3;false
76;1;3;true
76;2;5;true
76;3;1;false
76;4;1;true
76;5;1;true
77;0;2;false
77;1;1;true
77;2;1;false
77;3;1;true
77;4;1;true
77;5;1;false
78;0;1;true
78;1;1;true
78;2;7;true
78;3;2;true
78;4;3;false
78;5;5;false
79;0;1;true
79;1;1;false
79;2;2;true
79;3;3;false
79;4;1;true
79;5;2;false
80;0;2;false
80;1;2;false
80;2;1;true
80;3;1;false
80;4;1;true
80;5;1;true
81;0;1;true
81;1;5;false
81;2;1;true
81;3;1;true
81;4;1;true
81;5;1;false
82;0;7;false
82;1;1;false
82;2;1;true
82;3;1;false
82;4;1;true
82;5;1;false
83;0;1;true
83;1;2;true
83;2;1;true
83;3;1;true
83;4;1;true
83;5;1;true
84;0;1;false
84;1;2;false
84;2;1;false
84;3;1;true
84;4;1;true
84;5;1;false
85;0;2;true
85;1;1;true
85;2;1;true
85;3;1;true
85;4;1;true
85;5;1;true
