pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S1;R2;S2;NA;0.9993036885585311769047563633706392;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
0;0;0;R2;S3;R1;S2;0.7957126032160013896819869653179539;0.9999302626795281647663316068720860;3.3393478484531018888222707765327051012848;1.414148615138840757343152960549062523747;0.820702273559387498204511194357006228502973;1.6059929354403487874144037589204320091569
0;0;1;R2;S1;R1;I understand;0.17275130235995275426338536706708424;0.4210453939188302804425485760864134;1.414148615138840757343152960549062523747;1.25465090474471550570008617652980815732;0.866921853584361162882158891229322638094;1.353501915388032859031826228018661534518
0;1;0;R2;S1;R2;I understand;NA;0.4210453939188302804425485760864134;1.25465090474471550570008617652980815732;1.25465090474471550570008617652980815732;0E-39;0E-39
0;2;0;R2;S1;R2;I understand;NA;0.4210453939188302804425485760864134;1.25465090474471550570008617652980815732;1.25465090474471550570008617652980815732;0E-39;0E-39
0;3;0;R2;S1;R1;I understand;NA;0.4210453939188302804425485760864134;1.25465090474471550570008617652980815732;1.25465090474471550570008617652980815732;0E-39;0E-39
0;4;0;R2;S1;R1;I understand;NA;0.4210453939188302804425485760864134;1.25465090474471550570008617652980815732;1.25465090474471550570008617652980815732;0E-39;0E-39
0;5;0;R1;S1;R1;I understand;NA;0.4210453939188302804425485760864134;1.25465090474471550570008617652980815732;1.25465090474471550570008617652980815732;0E-39;0E-39
1;0;0;R1;S3;R1;S1;NA;0.8179479552781369221398442219336605;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
1;0;0;R1;S1;R2;S2;0.9993036885585311769047563633706392;0.9895397907395124240520620695746857;3.3393478484531018888222707765327051012848;2.3809434721606868651093992475676070085558;0.49664678945930880322432572373684494076632;0.87217496504726760768442944587633773388916
1;0;1;R1;S1;R1;S2;0.7551699915811143154390261355494662;0.9947644935444398483565128581066674;2.3809434721606868651093992475676070085558;2.28340353881396473043662238880516784048;0.1492028567396882645827772896536373749620;1.5647954178915448711877296574874391146549
1;0;2;R1;I understand;NA;NA;0.26982235988652977530495836392342195;NA;2.28340353881396473043662238880516784048;NA;NA;NA
1;1;0;R1;S2;R1;I understand;NA;0.036371248538213859943188612831627567;2.28340353881396473043662238880516784048;0.515311923493376605324287303185454881808;1.015960297276539679708403055824956517660;0.6114050942612581134455463692264443877188
1;2;0;R1;S1;R1;I understand;NA;0.3921264651485136823027027337151212;2.28340353881396473043662238880516784048;0.515311923493376605324287303185454881808;1.015960297276539679708403055824956517660;0.6114050942612581134455463692264443877188
1;3;0;R2;S3;R1;S2;NA;0.9941528061835507213924914440002526;2.28340353881396473043662238880516784048;0.515311923493376605324287303185454881808;1.015960297276539679708403055824956517660;0.6114050942612581134455463692264443877188
1;3;0;R2;S1;R1;I understand;0.26982235988652977530495836392342195;0.17474306563410885174680244884005302;2.28340353881396473043662238880516784048;0.55615631452839150896758662240502872108;1.296265205576399557758355879680936813856;0.685220167200412232555326765252759079098
1;4;0;R2;S1;R1;I understand;NA;0.17474306563410885174680244884005302;1.92144077947223608962863239706796950243;0.55615631452839150896758662240502872108;1.329985862563551097889491391978304321228;0.98031543158541698406107311946957259927
1;5;0;R1;S3;R1;S2;NA;0.9160392317982571144280521890497313;1.92144077947223608962863239706796950243;0.55615631452839150896758662240502872108;1.329985862563551097889491391978304321228;0.98031543158541698406107311946957259927
1;5;0;R1;I understand;NA;NA;0.11513187363497777931207813736678279;NA;1.92144077947223608962863239706796950243;NA;NA;NA
2;0;0;R1;S2;R1;I understand;NA;0.7957126032160013896819869653179539;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
2;1;0;R2;S1;R2;S1;NA;0.9993036885585311769047563633706392;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
2;1;0;R2;S3;R1;S2;0.9993036885585311769047563633706392;0.9961491955854231128328870804942994;3.3393478484531018888222707765327051012848;2.6628403984741861569763475492138253571699;2.48522683614360824356896892949967719318115;0.89053610266854920504074657684162280569845
2;1;1;R2;S1;R2;I understand;0.9268550779873986633462120124496191;0.7700131316036157247979172029066136;2.6628403984741861569763475492138253571699;1.525175639402064553852659416887130266568;1.38658828541797710777379340463437516762996;1.55957326398810329175569969619666072620383
2;2;0;R2;S1;R2;I understand;NA;0.7700131316036157247979172029066136;1.525175639402064553852659416887130266568;1.525175639402064553852659416887130266568;0E-41;0E-41
2;3;0;R2;S1;R2;I understand;NA;0.7700131316036157247979172029066136;1.525175639402064553852659416887130266568;1.525175639402064553852659416887130266568;0E-41;0E-41
2;4;0;R2;S1;R2;I understand;NA;0.7700131316036157247979172029066136;1.525175639402064553852659416887130266568;1.525175639402064553852659416887130266568;0E-41;0E-41
2;5;0;R1;S2;R1;I understand;NA;0.34153490372317258840668397935365163;1.525175639402064553852659416887130266568;1.525175639402064553852659416887130266568;0E-41;0E-41
3;0;0;R1;S2;R1;I understand;NA;0.7957126032160013896819869653179539;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
3;1;0;R1;S2;R1;I understand;NA;0.7957126032160013896819869653179539;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
3;2;0;R1;S1;R2;S2;NA;0.9993036885585311769047563633706392;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
3;2;0;R1;I understand;NA;NA;0.7957126032160013896819869653179539;NA;3.3393478484531018888222707765327051012848;NA;NA;NA
3;3;0;R1;S3;R1;S2;NA;0.9999302626795281647663316068720860;3.3393478484531018888222707765327051012848;1.414148615138840757343152960549062523747;0.820702273559387498204511194357006228502973;1.6059929354403487874144037589204320091569
3;3;0;R1;I understand;NA;NA;0.7957126032160013896819869653179539;NA;3.3393478484531018888222707765327051012848;NA;NA;NA
3;4;0;R1;S3;R1;I understand;NA;0.22012262651665503886021969962216919;3.3393478484531018888222707765327051012848;1.25465090474471550570008617652980815732;0.69209997933154605580936924966607328510227;1.322813157310392530691057591862296158903
3;5;0;R2;S3;R1;I understand;NA;0.22012262651665503886021969962216919;3.3393478484531018888222707765327051012848;1.25465090474471550570008617652980815732;0.69209997933154605580936924966607328510227;1.322813157310392530691057591862296158903
4;0;0;R2;S1;R2;S1;NA;0.9993036885585311769047563633706392;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
4;0;0;R2;S1;R2;S1;0.9993036885585311769047563633706392;0.9444402354364688684497379042835536;3.3393478484531018888222707765327051012848;2.6628403984741861569763475492138253571699;2.48522683614360824356896892949967719318115;0.89053610266854920504074657684162280569845
4;0;1;R2;S2;R1;S3;0.9444402354364688684497379042835536;0.9386923759719428303894216084796018;2.6628403984741861569763475492138253571699;1.7594766306420338052017726416032578093619873;0.27982741421297250096120979307824399491087;0.21617920985517520039245952013515332707065857
4;0;2;R2;S1;R2;S1;0.9931924357227272189222063840703874;0.8775535640207904808310404821265734;1.7594766306420338052017726416032578093619873;2.2068783199819892252266876785906159611226;1.1724066142883204227130969596065456944764319;1.84085612885563383377992221072056213727527
4;0;3;R2;S1;R2;S1;0.8775535640207904808310404821265734;0.8668956915982278557938116929540237;2.2068783199819892252266876785906159611226;2.4253640622154117671358260462078047280347199;0.310910007277938705291967464415500349975957;0.34757182227545585723808546778739520621614144
4;0;4;R2;S1;R2;S1;0.8668956915982278557938116929540237;0.8020154112592846402388145987245113;2.4253640622154117671358260462078047280347199;1.6922045042306380936529996563234829501262191637;0.30087100654207794595545497504841406793809125;0.23494209157246249459192605436722531209187416343
4;0;5;R2;S1;NA;NA;0.8020154112592846402388145987245113;NA;1.6922045042306380936529996563234829501262191637;NA;NA;NA
4;1;0;R2;S1;R2;I understand;NA;0.7621278795124299520691673709047662;1.10599983167727839239347434671106242754491289190691;1.10599983167727839239347434671106242754491289190691;0E-52;0E-52
4;2;0;R2;S1;R2;I understand;NA;0.7621278795124299520691673709047662;1.10599983167727839239347434671106242754491289190691;1.10599983167727839239347434671106242754491289190691;0E-52;0E-52
4;3;0;R2;S1;R2;I understand;NA;0.7621278795124299520691673709047662;1.10599983167727839239347434671106242754491289190691;1.10599983167727839239347434671106242754491289190691;0E-52;0E-52
4;4;0;R1;S2;R1;S2;NA;0.9788017419974323725642794693584667;1.10599983167727839239347434671106242754491289190691;1.10599983167727839239347434671106242754491289190691;0E-52;0E-52
4;4;0;R1;S2;R1;I understand;0.9788017419974323725642794693584667;0.13188909134845920997415761936570736;1.10599983167727839239347434671106242754491289190691;1.495162490591736867675721234561014180482368586411;1.907103852421054726395072206784018572506309853839563;2.8348752286715427617243899044365149517506467451813
4;5;0;R2;S1;R1;S2;NA;0.8884648875205419862025211734474769;1.495162490591736867675721234561014180482368586411;1.495162490591736867675721234561014180482368586411;0E-50;0E-50
4;5;0;R2;S3;R2;S3;0.13188909134845920997415761936570736;0.9999998816281851072594357975963129;1.495162490591736867675721234561014180482368586411;0.15259165015011044239118871870109801888799825751133;-0.01712064758858246562721963930603277084035461683858;0.336537396402261448656050024629219692791476365584438
4;5;1;R2;S3;R1;S3;0.9999998816281851072594357975963129;0.9591637497058641121234547987483316;0.15259165015011044239118871870109801888799825751133;0.66397149503331057154724780182158916034044290001;0.060737236468798171337429858416020836709501502361665;0.259129574981234211163304062447396141222741369787
4;5;2;R2;S2;R1;S2;0.9591637497058641121234547987483316;0.9495984726044301384345190578163958;0.66397149503331057154724780182158916034044290001;1.67312775126633308091936610316154072656029718368;3.374681266047107161027453848915249825478120192591;3.033821437094190936944037137750156819733976842292
4;5;3;R2;S3;R1;S2;0.9495984726044301384345190578163958;0.9531395942442091567493058422483106;1.67312775126633308091936610316154072656029718368;0.3219167007333319201314007769761825953232468166;2.995055363859291150708174469802255682692576848964;3.48648704938290851267416963101396540840957480189
4;5;4;R2;S3;R2;S3;0.015473551285467925533235616747287393;0.9531022745024300806743809888658205;0.3219167007333319201314007769761825953232468166;0.315100612671729055881368555574902645878600622;0.00097135969452407840175161801099589642707304931;0.00049629525960879090243353196707355708297526747
4;5;5;R2;S3;NA;NA;0.9531022745024300806743809888658205;NA;0.315100612671729055881368555574902645878600622;NA;NA;NA
5;0;0;R1;S3;R1;S2;NA;0.8179479552781369221398442219336605;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
5;0;0;R1;I understand;NA;NA;0.7957126032160013896819869653179539;NA;3.3393478484531018888222707765327051012848;NA;NA;NA
5;1;0;R2;S1;R2;I understand;NA;0.7608881948503072933544606873958794;3.3393478484531018888222707765327051012848;1.5281837725672336990449150491487537326185;0.62984875973691330155360408787490241679115;0.99683152132483895381626133701572842772602
