pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R1;S3;R2;S2;NA;0.8295668954282077252147020096209909;3.3318752136630403366694994898018017282134;3.3318752136630403366694994898018017117148;0.48160966910916278705148744988818694301460878972391254447209818194367338408;0.48160966910916278705148744988818693445188315951037406653259741256570058002
0;0;0;R1;S1;R1;S2;0.8924957047995127626525117050372025;0.9886378159682619070484241205376995;3.3318752136630403366694994898018017282134;2.60283563493871049141938364805538075714164;0.4467171291111501498758089333724295304347;0.86992756129278370044874159064107733114799
0;0;1;R1;S3;R1;S2;0.6324386270333051262727958134001044;0.8268594446180428564780073660639650;2.433469508872396059237700042822074010891;2.2538754113527171455676176219062715798;0.3731784133298579712457655529681811219131;1.1998839875025242486648640996729915701
0;0;2;R1;I understand;NA;NA;0.4655954079161898566120392811361463;NA;2.05882853063649156841260486161358402349;NA;NA;NA
0;1;0;R1;S2;R1;I understand;NA;0.4092793910851283934647893687733896;2.05882853063649156841260486161358402349;1.6635324423049610399944624840630167887;0.413830693326637449010159146775875632055;0.23415671750276315283958182612800663440
0;2;0;R2;S1;R1;S2;NA;0.9023798561496720320282830267101534;2.05882853063649156841260486161358402349;1.6635324423049610399944624840630167887;0.413830693326637449010159146775875632055;0.23415671750276315283958182612800663440
0;2;0;R2;S3;R2;I understand;0.4655954079161898566120392811361463;0.7584970948749842450940421548054867;2.05882853063649156841260486161358402349;1.5954814439265907887732538755255441864;0.706706145771638405988221616746159706302;0.54194116547088076946965915231103441640
0;3;0;R1;S3;R1;I understand;NA;0.7584970948749842450940421548054867;2.01171124159507045133723270491484266175;1.5954814439265907887732538755255441864;0.394454139179089048744863728577218516692;0.20501586817424458188705951263737491919
0;4;0;R2;S1;R1;I understand;NA;0.6524435097689362238743430436521913;2.01171124159507045133723270491484266175;1.5954814439265907887732538755255441864;0.394454139179089048744863728577218516692;0.20501586817424458188705951263737491919
0;5;0;R2;S1;R1;I understand;NA;0.6524435097689362238743430436521913;2.01171124159507045133723270491484266175;1.5954814439265907887732538755255441864;0.394454139179089048744863728577218516692;0.20501586817424458188705951263737491919
1;0;0;R1;S2;R1;S2;NA;0.9119935007477121103932642517568671;3.3318752136630403366694994898018017282134;3.3318752136630403366694994898018017117148;0.48160966910916278705148744988818694301460878972391254447209818194367338408;0.48160966910916278705148744988818693445188315951037406653259741256570058002
1;0;0;R1;S3;R1;S2;0.8924957047995127626525117050372025;0.8259869011047429403201455088401049;3.3318752136630403366694994898018017282134;2.8916122367384795996970731597411607233654;1.12441244830046710702904765894949593568677;0.81566486437619783293999104558440396087634
1;0;1;R1;I understand;NA;NA;0.6908948134228971033339993515589792;NA;2.6818554081242717682481811037459608729173;NA;NA;NA
1;1;0;R2;S3;R1;I understand;NA;0.4047704553217147224393741465051792;2.6818554081242717682481811037459608729173;2.0597631035787486712000682788210596702055;-0.1028260229279991522613701007701402372815;0.81521307124381204294504536853610965404338
1;2;0;R2;S3;R1;I understand;NA;0.4047704553217147224393741465051792;2.6818554081242717682481811037459608729173;2.0597631035787486712000682788210596702055;-0.1028260229279991522613701007701402372815;0.81521307124381204294504536853610965404338
1;3;0;R1;S1;R2;S2;NA;0.9757978557291899264419724859621514;2.6818554081242717682481811037459608729173;2.0597631035787486712000682788210596702055;-0.1028260229279991522613701007701402372815;0.81521307124381204294504536853610965404338
1;3;0;R1;I understand;NA;NA;0.6908948134228971033339993515589792;NA;2.6818554081242717682481811037459608729173;NA;NA;NA
1;4;0;R2;S1;R1;I understand;NA;0.6860731642658108745627228757913615;2.6818554081242717682481811037459608729173;1.5827928275987136072448605755904168037;-0.0988297352164316364111553741272775673524;1.29201027836396484724734162754730461562
1;5;0;R2;S3;R1;I understand;NA;0.7552885436630074907856173435064945;2.6818554081242717682481811037459608729173;1.5827928275987136072448605755904168037;-0.0988297352164316364111553741272775673524;1.29201027836396484724734162754730461562
2;0;0;R2;S1;R1;S1;NA;0.9531074787656954336718145749884923;3.3318752136630403366694994898018017282134;3.3318752136630403366694994898018017117148;0.48160966910916278705148744988818694301460878972391254447209818194367338408;0.48160966910916278705148744988818693445188315951037406653259741256570058002
2;0;0;R2;S1;R1;S2;0.9946680512173186794757447418469169;0.9283342359110407173794142039941057;3.3318752136630403366694994898018017282134;3.0356123542815773068187117589654105744622;1.21857104917339261972746257808431984228758;1.00177671305970614271793810514015479744189
2;0;1;R2;S1;R1;I understand;0.9978970493934071614652916300799967;0.6626506932248627886675122636306054;2.9612306296655497901000793321693219952968;1.810279522412014005548476141180930992316;0.71202311510094247562128846101166001936915;1.5332902090571396253847124963070943496895
