pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S1;R1;S3;NA;0.9998414195139186289926739497401862;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
0;0;0;R2;S2;R2;I understand;0.8014499367750628867567330508209263;0.07776136533013657440993645884160847;3.3393478484531018888222707765327051012848;1.54191853436095966709761659343753091045546;2.40397599832949182315419926010779832740207;1.556532736126290155034567002321999251435293
0;1;0;R2;S2;R2;I understand;NA;0.07776136533013657440993645884160847;1.54191853436095966709761659343753091045546;1.54191853436095966709761659343753091045546;0E-43;0E-43
0;2;0;R2;S2;R2;I understand;NA;0.07776136533013657440993645884160847;1.54191853436095966709761659343753091045546;1.54191853436095966709761659343753091045546;0E-43;0E-43
0;3;0;R1;S1;R1;S1;NA;0.9742656541357242672194618392592307;1.54191853436095966709761659343753091045546;1.54191853436095966709761659343753091045546;0E-43;0E-43
0;3;0;R1;S3;R2;S2;0.9742656541357242672194618392592307;0.9987381377844829632361504695016463;1.54191853436095966709761659343753091045546;1.633324070000472927106064942460684514959480891;0.1660845238061031313664792124807169199126043;0.096053532154259436656055610897441980452903686
0;3;1;R1;S2;R1;S2;0.06302164883182914637139702293390914;0.9930359402086185579477880846363870;1.633324070000472927106064942460684514959480891;1.01016504657932955747107658656149541090497122;-0.1738069005621944241887658123199724490162113433;0.4430031540434699824181494497044925382624023107
0;3;2;R1;S2;R1;I understand;0.9930359402086185579477880846363870;0.7761476754758865716112548255698590;1.01016504657932955747107658656149541090497122;1.0919304597400191895352086212898150121269596;7.781710353864614009237703737232333392199986618;4.67426741610563204777675528285582424056210344
0;4;0;R1;S1;R1;S1;NA;0.8055151384561516821057516992496724;1.0919304597400191895352086212898150121269596;1.0919304597400191895352086212898150121269596;0E-45;0E-45
0;4;0;R1;S1;R1;I understand;0.8055151384561516821057516992496724;0.3743200025405155228401372944307185;1.0919304597400191895352086212898150121269596;0.725301003799044396166062369573514055224480186487;0.54965128008513364775661448242039755538576412;0.4158995885097382939833497078794159268944373530969
0;5;0;R2;S3;R1;S2;NA;0.9999939083811039494751873331894916;0.725301003799044396166062369573514055224480186487;0.725301003799044396166062369573514055224480186487;0E-50;0E-50
0;5;0;R2;S3;R2;S3;0.25613565181191963746656869338126926;0.9999999995100828161047486347137890;0.725301003799044396166062369573514055224480186487;0.3340962231799590735652590326206761029729117104551;2.12044354601114694810051618885915846319633920367614;1.753036263318162656514025602134501462218982880150265
0;5;1;R2;S2;R2;S3;0.9999999995100828161047486347137890;0.9999999999962773458757748223576125;0.3340962231799590735652590326206761029729117104551;0.005930415017921714315685681094994367699403748165682;0.62268245259733629042828588244935081785096081732152;0.0608574361198007623075431559841721072177379535688033
0;5;2;R2;S2;R1;S3;0.9999999605030221934845799878162891;0.9999999998734281060140546590925070;0.005930415017921714315685681094994367699403748165682;0.0002394609198891130741185440563770017727514684149651;0.0016425647511732483779365115801319165632843133960936;0.000426762182218194510671826764233573730857240594804083
0;5;3;R2;S3;R2;S1;0.9999999999099588786843871202995088;0.9999999898036844243562148368923906;0.0002394609198891130741185440563770017727514684149651;0.00119880127125219613228302755084252057370718363159469;0.00006557500840924279171930386444632057033227894054126;0.000107491877048406818978783653589643877352776396268593
0;5;4;R2;S3;R2;S3;0.9999999999999997643852288041099327;0.9999999999994409702071790938418718;0.00119880127125219613228302755084252057370718363159469;0.00002252001171297825045224196269597597781903548699;0.00029785001250528365367531145567930011188005413125;0.000075880149897238058478868223371485020947936813923
0;5;5;R2;S3;NA;NA;0.9999999999994409702071790938418718;NA;0.00002252001171297825045224196269597597781903548699;NA;NA;NA
1;0;0;R2;S1;R1;S3;NA;0.9998414195139186289926739497401862;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
1;0;0;R2;S2;R2;I understand;0.8014499367750628867567330508209263;0.07776136533013657440993645884160847;3.3393478484531018888222707765327051012848;1.54191853436095966709761659343753091045546;2.40397599832949182315419926010779832740207;1.556532736126290155034567002321999251435293
1;1;0;R1;S3;R1;S1;NA;0.9703836734896207159431306952182168;1.54191853436095966709761659343753091045546;1.54191853436095966709761659343753091045546;0E-43;0E-43
1;1;0;R1;S3;R2;S2;0.9742656541357242672194618392592307;0.9987415488656088267603713593254027;1.54191853436095966709761659343753091045546;1.520048652366332704895245827994223546791034780;0.126475611352416491693848572732343619823194;0.086410572005010045922651886189170601590156087
