pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S1;R2;S1;NA;0.9324171939478438778459272004989032;3.3318752136630403366694994898018017282134;3.3318752136630403366694994898018017117148;0.48160966910916278705148744988818694301460878972391254447209818194367338408;0.48160966910916278705148744988818693445188315951037406653259741256570058002
0;0;0;R2;S1;R2;S1;0.9672400248343865227839625078510933;0.9999083586998494712428778752090962;3.3318752136630403366694994898018017282134;2.8388918360721258016368536189340800314660410;6.21826876686866813525073552105927310678048;1.09965647324354619270883880366987338096794124
0;0;1;R2;S1;R2;S2;0.8926686624505582375328737089855540;0.8629127023666203713463342872554935;2.0867364583271902031463994317442175905458094;2.13133388727908902992403147047904290553117905219644;0.2704084624111084616155603256747375035908942;0.27367475538499438857513365510942895861834980132027
0;0;2;R2;S3;R1;S2;0.8830716253563633908669938670931049;0.9874280614561811078839204007001084;1.2912710349424502380878993333582337410188871109997;0.1772536911582836926899431110130369499890679183666173;3.7197415430024488145737549697813505731314433497610106;4.1622045180432176142477709691330566157401792469827722
0;0;3;R2;S3;R1;S1;0.0072390629179225656874889668735310873;0.9878949380965622173090779339012129;0.99116238604900927082830517064708619979663903853446;0.01957242643902810341206086292719014957071557571335;1.564340979525340386474193134230799903751025037015020;0.253119412984235166223224891765743546020081024961445
0;0;4;R2;S3;R1;S1;0.06447827096273352356558344495462427;0.8332811837250694446389619771437950;0.134056329510330222647376962394418327724146821733;1.2932413777771425880669768947876442160007130018623;0.4098330393276780037419283674283878725988909043971;1.920855871392708466941101283828546248185332376582439
0;0;5;R2;S1;NA;NA;0.9520447276235985295574846674475331;NA;1.67918566810903816668440504729525451476071957583182;NA;NA;NA
0;1;0;R2;S3;R2;S2;NA;0.8257314826468024680756680312409310;0.6690448429684468751494312395958716854512256180376316411;0.872094209188926445758765020226743211200626735216086081;1.06890606033766069932099740153280207802994603956967556640;1.4392682181819459362559154724256924264102008758355352649
0;1;0;R2;S1;R1;S1;0.9999366798120726670644343152123308;0.8899974019293655134347904693567514;0.6690448429684468751494312395958716854512256180376316411;1.45986282006304388879931945915676039494555587432610211;1.12123649945809003403213788951265567789834870504740162022;1.259294155170092560095110375052889847220695440711938627
0;1;1;R2;S3;R1;S3;0.9827401833431759824652875769456331;0.8348394121643825251326368572518707;0.6004604050399807022746834193696657099531846261187727119;1.053682897507859061044853527958091834961243005725152758;2.54558500276224542759037019289654290743509164449459;3.149163082500737552082733048998793244442462102901698834
0;1;2;R2;I understand;NA;NA;0.7521404470979529971399026711992403;NA;1.2009576262616495368597525943189242074486188457277691029;NA;NA;NA
0;2;0;R2;S1;R1;S1;NA;0.8260647890199233592103354306434532;1.2009576262616495368597525943189242074486188457277691029;0.86417551400431196345021651904548994958778359095367031;2.21116335351107244653387936332364067836493092834096626221;1.9293904067957047667602237840722846178706907417579940187
0;2;0;R2;S1;R1;S1;0.7525236584095182468454354745208982;0.8250442252082476254310361179406964;1.2009576262616495368597525943189242074486188457277691029;0.830968735150078719441108857720491105169104458;3.153466444551092202216006536748753976421456;1.959489517326497578059884406230166300769880668
0;2;1;R2;I understand;NA;NA;0.4527644810625980309499706536928103;NA;0.74245909179333155374150878853530031736290;NA;NA;NA
0;3;0;R2;S3;R2;S2;NA;0.8249300427333628410055556334558064;0.74245909179333155374150878853530031736290;0.825775443834077477832661912305226879004662903;1.42753982507066124765350736714511452474151;1.480879193364077859018066911284557829554935087
0;3;0;R2;S2;R1;S3;0.9999672247588269078759378718232735;0.9999999999999464921190859248081572;0.74245909179333155374150878853530031736290;0.87698037748593136870631315576512808194774580247;1.06559856124355363759097926347397691575787;1.44867532592732387630947900549645816051458458559
0;3;1;R2;S2;R2;S2;0.9903722191777904963522758131851400;0.9999999999999999915476390208082822;0.485770995861077516298936696782193058518412;1.455074927827907636768938484889184525227324201;0.597307741052615889865712685356396258069925;1.4954426877304199709223601546562343575177614975
0;3;2;R2;S3;R1;S3;0.9999999999997894285140723673628644;0.9999999999522623533493879507261021;0.01085969065589759322634691953760222445627947932;0.0002110651455910042995275023066772243761;0.004030106386030125819638031332553052477;0.00086646759069261092858768264473148693125
0;3;3;R2;S3;R1;S1;0.9999999999999999275488761026070645;0.9999999961493849390918409948149396;0.0000639568658739968951693074076768878017776;0.0015706256994680747081063226712904413;0.000097762975058188268417681025042777413164;0.00100065452585851963308475350534351055
0;3;4;R2;S1;R2;S2;0.9999999999999941597265074426759247;0.9999996900942464790793741256156966;0.0000017952405193983305516875922760419985228;0.011224274960792609518137500674282437;0.00090687990154127309675153773985572022249;0.0089516281935900996763325997945000114
0;3;5;R2;S1;NA;NA;1.0000000000000000000000000000000000;NA;0.0000141211504087520095697711817361293995;NA;NA;NA
