pair;round;nrTurns;success
0;0;2;false
0;1;7;false
0;2;7;false
0;3;6;true
0;4;1;true
0;5;1;true
1;0;7;false
1;1;7;false
1;2;7;true
1;3;1;false
1;4;1;false
1;5;1;true
2;0;2;false
2;1;1;false
2;2;4;false
2;3;7;true
2;4;7;false
2;5;3;true
3;0;7;true
3;1;7;true
3;2;7;true
3;3;1;true
3;4;1;true
3;5;1;false
4;0;4;false
4;1;1;false
4;2;7;false
4;3;7;false
4;4;4;false
4;5;1;false
5;0;3;false
5;1;1;false
5;2;1;false
5;3;1;true
5;4;1;true
5;5;1;false
6;0;7;false
6;1;7;false
6;2;7;false
6;3;1;false
6;4;1;false
6;5;1;true
7;0;4;false
7;1;3;true
7;2;2;true
7;3;7;true
7;4;7;false
7;5;1;false
8;0;7;false
8;1;7;true
8;2;7;false
8;3;1;false
8;4;1;false
8;5;1;true
9;0;5;false
9;1;1;false
9;2;1;false
9;3;1;false
9;4;1;false
9;5;1;false
10;0;7;false
10;1;7;false
10;2;7;false
10;3;1;false
10;4;1;false
10;5;1;true
11;0;2;true
11;1;2;false
11;2;1;false
11;3;1;false
11;4;1;false
11;5;1;false
12;0;7;true
12;1;7;false
12;2;7;false
12;3;1;false
12;4;1;true
12;5;1;false
13;0;6;false
13;1;3;false
13;2;7;false
13;3;6;false
13;4;1;true
13;5;1;false
14;0;4;false
14;1;1;false
14;2;1;false
14;3;7;false
14;4;7;true
14;5;4;true
15;0;7;true
15;1;7;false
15;2;7;true
15;3;3;false
15;4;2;false
15;5;1;false
16;0;2;false
16;1;4;false
16;2;1;false
16;3;1;false
16;4;1;false
16;5;1;false
17;0;2;false
17;1;7;false
17;2;7;false
17;3;6;true
17;4;1;false
17;5;1;true
18;0;7;false
18;1;7;false
18;2;7;true
18;3;1;true
18;4;1;true
18;5;1;false
19;0;4;false
19;1;1;false
19;2;1;false
19;3;7;false
19;4;7;true
19;5;4;true
20;0;4;false
20;1;1;false
20;2;1;false
20;3;1;false
