pair;round;nrTurns;success
0;0;7;true
0;1;7;false
0;2;7;false
0;3;2;false
0;4;1;false
0;5;1;false
1;0;7;true
1;1;5;true
1;2;7;true
1;3;5;true
1;4;1;false
1;5;1;false
2;0;7;false
2;1;7;false
2;2;3;false
2;3;7;true
2;4;1;false
2;5;1;false
3;0;7;false
3;1;7;false
3;2;2;true
3;3;7;true
3;4;2;true
3;5;1;true
4;0;7;false
4;1;7;false
4;2;7;false
4;3;4;true
4;4;1;true
4;5;1;true
5;0;7;true
5;1;7;true
5;2;6;true
5;3;4;false
5;4;1;false
5;5;1;false
6;0;7;true
6;1;7;false
6;2;3;false
6;3;6;true
6;4;1;true
6;5;1;false
7;0;7;false
7;1;7;false
7;2;7;true
7;3;3;false
7;4;1;true
7;5;1;false
8;0;7;false
8;1;1;true
8;2;7;true
8;3;2;true
8;4;1;true
8;5;7;false
9;0;7;false
9;1;6;false
9;2;1;true
9;3;7;false
9;4;3;true
9;5;1;true
10;0;7;true
10;1;3;false
10;2;7;false
10;3;2;true
10;4;1;true
10;5;1;true
11;0;7;true
11;1;7;true
11;2;3;false
11;3;7;false
11;4;2;true
11;5;1;false
12;0;5;true
12;1;7;false
12;2;7;false
12;3;6;true
12;4;1;true
12;5;1;false
13;0;7;false
13;1;7;false
13;2;6;true
13;3;4;true
13;4;1;false
13;5;1;false
14;0;7;true
14;1;7;true
14;2;7;false
14;3;3;false
14;4;1;true
14;5;1;false
15;0;7;true
15;1;7;false
15;2;7;false
15;3;2;true
15;4;1;true
15;5;1;true
16;0;6;true
16;1;3;true
16;2;7;false
16;3;7;false
16;4;2;true
16;5;1;true
17;0;7;true
17;1;7;false
17;2;7;false
17;3;4;true
17;4;1;true
17;5;1;false
18;0;7;false
18;1;7;true
18;2;7;true
18;3;3;false
18;4;1;false
18;5;1;true
19;0;7;true
19;1;7;false
19;2;7;false
19;3;5;false
19;4;1;false
19;5;1;false
20;0;7;false
20;1;7;false
20;2;7;false
20;3;4;false
20;4;1;true
20;5;1;true
21;0;7;true
21;1;7;false
21;2;7;true
21;3;3;false
21;4;1;false
21;5;1;false
22;0;7;false
22;1;7;false
22;2;7;false
22;3;1;false
22;4;2;false
22;5;1;false
23;0;7;false
23;1;7;true
23;2;7;true
23;3;6;false
23;4;1;true
23;5;1;false
24;0;7;true
24;1;7;false
24;2;7;true
24;3;3;false
24;4;1;false
24;5;1;true
25;0;7;true
25;1;4;false
25;2;2;true
25;3;1;true
25;4;1;false
25;5;7;true
26;0;7;true
26;1;2;true
26;2;7;false
26;3;7;true
26;4;1;false
26;5;1;true
27;0;7;false
27;1;7;true
27;2;2;true
27;3;7;true
27;4;2;false
27;5;1;true
28;0;7;true
28;1;1;true
28;2;7;false
28;3;7;true
28;4;2;false
28;5;1;true
29;0;7;false
29;1;2;true
29;2;1;false
29;3;3;false
29;4;5;true
29;5;7;false
30;0;7;true
30;1;7;true
30;2;1;true
30;3;1;true
30;4;7;true
30;5;2;false
31;0;7;true
31;1;7;false
31;2;7;true
31;3;5;false
31;4;1;false
31;5;1;false
32;0;7;false
32;1;7;false
32;2;7;false
32;3;4;true
32;4;1;true
32;5;1;false
33;0;7;true
33;1;1;true
33;2;6;false
33;3;7;true
33;4;1;true
33;5;4;true
34;0;7;true
34;1;7;true
34;2;4;true
34;3;7;true
34;4;1;false
34;5;1;true
35;0;7;true
35;1;2;true
