pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R1;S1;R3;S3;NA;1.5214319914249440329893295621002533;6.5855033579138608006673943690997482021670103786713522362953732975524551776;6.5855033579138608006673943690997482021670103786713522362953732975524551776;0E-75;0E-75
0;0;0;R1;S1;R3;S3;1.5831954175827111320981439678153512;1.1974667778683088134901397659859503;6.5855033579138608006673943690997482021670103786713522362953732975524551776;3.4872978135204058364657819629376838033025413999394367266697852953988594;3.759087352335360984547697463051260190878698920094192639855277193209837896;1.944827114203572553005109114074319937307506053029522092921064877033965527
0;0;1;R1;S3;R3;S3;1.3927542749364043731573260111530890;1.1438340849835114089929458745395840;3.4872978135204058364657819629376838033025413999394367266697852953988594;2.145757166704688317381517065644389357937703018942891396412988982603034;0.390307869530091004939821231492710926680436591585008927120446185189424357;0.251881815553033314683571731534191110652499203313046785051183983166687855
0;0;2;R1;S1;R1;S1;1.1438340849835114089929458745395840;1.006199356764587034471730791528106707;2.145757166704688317381517065644389357937703018942891396412988982603034;1.60843398229510548089911570215779547715146211895307449484148116657727;0.09446220092536813586892238280870012532609880640828035008534741156929885;0.05798836376961860434163644977126872283950751826987502949191663777794842
0;0;3;R1;S3;R1;S1;1.006199356764587034471730791528106707;1.01167958337639880761745854159333734;1.60843398229510548089911570215779547715146211895307449484148116657727;1.4178622511625577951413217671828538398620109286429272359720482047635;0.0233382005033997190109214604690932375345076476527417323125852090714974;0.0150795521293479856723182041982854506902534297972460328918200102627375
0;0;4;R1;S3;R3;S1;1.0008363973242888665685710555019987987;1.003138526782381828022489865964019844;1.4178622511625577951413217671828538398620109286429272359720482047635;1.340711263755368871360143769133933592073919388226739161048429704400;0.00695604505271007810603015137915486988985213160369894709725245096968;0.00491933927285649668117284555903366583563987946200233865389927575534
0;0;5;R1;S1;NA;NA;1.0000305529472865863083929591207068403;NA;1.340711263755368871360143769133933592073919388226739161048429704400;NA;NA;NA
0;1;0;R3;S1;R3;S1;NA;0.99988404716318055087761394125760478778;1.30566099480036572783956499957295078973069546723934903793478691638;1.30566099480036572783956499957295078973069546723934903793478691638;0E-67;0E-67
0;1;0;R3;S3;R3;S3;0.99988404716318055087761394125760478778;1.0000788450869130151785591807490767902;1.30566099480036572783956499957295078973069546723934903793478691638;1.288893748705099233815159994493154028259507985287445737701459345;0.00102088233974727671898162857622666941059798632500563885751419508226;0.00076369434150934704515635875915149814398017154281583008997328268711
0;1;1;R3;S1;R3;S3;1.0000788450869130151785591807490767902;0.999831005909258673299325499532849721165;1.288893748705099233815159994493154028259507985287445737701459345;1.28071087239664906579119396068164713100919894221684940755227552;0.000429877631949700726368332660076059043838580297511421766345850433;0.000324754663441803029539307966966120366747880407402831055370295639
